|         ID |      RA |      DEC | Memb |   m_V | m_err_V |  mu_V | mu_err_V | color_V-I | color_err_V-I |
|     FCC222 | 54.8055 | -35.3712 |  1.0 |  14.8 |    0.01 | 21.54 |     0.08 |     1.112 |          0.04 |
|     FCC188 | 54.2695 | -35.5901 |  1.0 |  15.6 |    0.01 | 21.84 |     0.05 |     1.102 |         0.024 |
|     FCC211 | 54.5902 | -35.2597 |  1.0 | 15.74 |    0.01 | 20.77 |     0.06 |     1.027 |         0.028 |
|     FCC223 | 54.8318 | -35.7244 |  1.0 | 15.89 |    0.02 | 22.77 |     0.07 |     0.997 |         0.032 |
|     FCC241 | 55.0985 | -35.2764 |  1.0 | 16.22 |    0.02 | 22.97 |     0.08 |     1.012 |          0.04 |
|     FCC274 | 55.5721 | -35.5408 |  1.0 | 16.31 |    0.01 | 22.34 |     0.08 |     0.887 |          0.04 |
|     FCC156 | 53.9283 | -35.3384 |  1.0 | 16.85 |    0.01 | 23.19 |     0.06 |     0.997 |         0.028 |
|     FCC208 | 54.5787 | -35.5308 |  1.0 | 17.23 |    0.02 | 23.02 |     0.14 |     1.012 |         0.069 |
|     FCC196 | 54.3922 |  -35.829 |  1.0 |  17.3 |    0.02 | 22.91 |     0.08 |     0.992 |          0.04 |
|     FCC160 | 54.0173 | -35.3887 |  1.0 | 17.34 |    0.01 | 23.24 |     0.09 |     0.992 |         0.044 |
|     FCC194 |  54.325 | -35.6992 |  1.0 |  17.8 |    0.02 | 22.52 |     0.09 |     0.997 |         0.044 |
|     FCC287 | 55.8067 | -35.5187 |  1.0 | 17.89 |    0.02 | 22.93 |     0.16 |     0.897 |         0.077 |
|     FCC269 | 55.4878 | -35.2942 |  2.0 | 18.21 |    0.09 | 24.75 |     0.17 |     1.042 |         0.081 |
|     FCC140 | 53.7358 | -35.1908 |  1.0 | 18.25 |    0.02 | 23.75 |     0.09 |     0.947 |         0.044 |
|     FCC218 | 54.6897 | -35.2664 |  1.0 | 18.25 |    0.05 |  23.5 |     0.17 |     0.932 |         0.081 |
|     FCC226 |   54.96 | -35.0225 |  2.0 | 18.41 |    0.29 | 26.12 |     0.45 |     1.027 |         0.218 |
|     FCC228 | 54.9645 | -35.3224 |  2.0 | 18.69 |    0.08 | 24.51 |     0.54 |     1.007 |         0.263 |
|     FCC229 | 54.9805 | -35.6617 |  1.0 | 18.75 |    0.04 | 24.37 |     0.12 |     0.902 |         0.057 |
|     FCC168 | 54.1169 | -35.2107 |  1.0 | 18.78 |    0.05 | 23.66 |     0.16 |     0.917 |         0.077 |
|     FCC157 | 53.9285 | -35.5141 |  2.0 | 18.85 |    0.04 | 24.66 |      0.1 |     1.022 |         0.048 |
|     FCC141 | 53.7379 |  -35.205 |  3.0 | 18.89 |    0.01 | 21.64 |     0.04 |     0.752 |          0.02 |
|     FCC214 | 54.6527 | -35.8342 |  1.0 | 18.91 |    0.04 |  23.3 |      0.2 |     0.932 |         0.097 |
|     FCC197 | 54.4215 | -35.2959 |  1.7 | 18.94 |    0.04 | 23.91 |     0.18 |     0.917 |         0.085 |
|     FCC154 |  53.877 | -35.2518 |  1.3 | 18.99 |    0.03 | 24.25 |     0.07 |     1.007 |         0.032 |
|     FCC145 | 53.7732 | -35.2183 |  1.0 | 19.07 |    0.02 | 23.57 |     0.15 |     0.982 |         0.073 |
| IM4_2_LSB1 | 54.1793 | -35.4355 |  1.0 | 19.12 |    0.06 | 24.14 |     0.23 |     0.942 |         0.109 |
|     FCC215 | 54.6565 | -35.7569 |  1.0 | 19.21 |    0.06 | 24.46 |      0.2 |     0.822 |         0.097 |
|     FCC191 |  54.292 | -35.3865 |  1.0 | 19.26 |    0.05 | 23.42 |     0.26 |     0.967 |         0.125 |
|     FCC144 | 53.7512 | -35.3227 |  1.0 | 19.26 |    0.04 | 24.05 |     0.14 |     0.937 |         0.069 |
|     FCC220 | 54.7305 | -35.2365 |  2.0 |  19.3 |    0.08 | 24.14 |     0.33 |     1.137 |         0.158 |
| IM7_2_LSB1 | 55.5467 | -35.4429 |  2.0 | 19.45 |    0.11 | 25.17 |     0.28 |     0.972 |         0.137 |
|     FCC275 | 55.5798 |  -35.561 |  2.0 | 19.61 |    0.09 | 24.69 |     0.15 |     0.747 |         0.073 |
| IM1_6_LSB2 | 53.5251 | -35.2772 |  2.0 | 19.67 |    0.04 | 24.54 |     0.07 |     0.902 |         0.036 |
|     FCC192 | 54.2931 | -35.8881 |  1.0 |  19.7 |    0.08 | 24.33 |     0.39 |     1.007 |          0.19 |
| IM1_6_LSB1 | 53.5515 | -35.2283 |  2.0 | 20.17 |    0.05 | 24.22 |     0.17 |     0.907 |         0.081 |
