#  myV_F606W  myV_F606We    mycalr_h   mycalr_he
#
        25.3      0.0454           -1           -1
       22.39      0.0292       1.925      0.4838
       25.69      0.0601      0.5448       246.1
       23.58      0.0202       2.265      0.4313
       24.66      0.0354           -1           -1
       25.64       0.055           0           0
       21.93      0.0178       1.629           0
       21.59      0.0177       1.261           0
        21.3      0.0187           -1           -1
       23.28      0.0194       1.837      0.3464
       23.37       0.022       1.317      0.2432
       21.97      0.0159       3.498           0
       25.73      0.0581           0           0
       22.48      0.0181       1.869      0.1732
       24.08      0.0283       1.835      0.6866
       25.41      0.0446       2.721        1.26
       24.54       0.028       2.857       0.729
       25.72      0.0596           0       10.55
       23.37      0.0213       2.116       0.314
       25.07      0.0396       1.274       1.055
       24.77       0.037           0       1.116
       23.45      0.0195       1.977      0.3971
       23.62      0.0206       1.629      0.2928
       24.78      0.0319       2.302      0.6231
       24.34      0.0261       1.491      0.6057
       24.44      0.0256           -1           -1
       23.23      0.0182       3.062      0.5841
       25.19      0.0396       4.183       1.584
       21.23      0.0301     0.01754      0.1682
       23.11      0.0184       2.557      0.5302
       24.94      0.0452           0       1.039
       23.86      0.0214       2.714      0.5088
       22.04      0.0188      0.7248           0
        23.7      0.0219         1.8      0.4263
        25.5       0.051           0       8.533
       25.65      0.0523           -1           -1
       23.91      0.0225       2.801      0.5752
       22.17      0.0173       4.323           0
       25.77        0.06       3.348       3.593
       24.24      0.0254       1.584      0.4838
       23.68      0.0208       2.869       0.384
       24.49      0.0275      0.9397      0.5928
        23.6      0.0197       3.107      0.3501
        24.3      0.0244        3.28      0.6279
       24.04      0.0229       2.282      0.6043
       22.01      0.0178       1.032      0.1757
       23.73      0.0229       0.498      0.3221
       23.29      0.0205       1.072      0.2379
        25.3       0.043       1.944       1.153
       24.81      0.0315       3.294      0.8071
       22.21      0.0174       2.121      0.1875
       24.91      0.0332           0           0
       24.19      0.0243       1.755      0.4392
       24.05      0.0232       1.605      0.4864
       22.93      0.0192       4.249      0.6702
       22.66      0.0229     0.05882       30.58
       23.16      0.0189      0.5892      0.3489
        24.5      0.0283        1.85      0.5943
       24.74      0.0314       2.339      0.7829
       23.49      0.0203       2.109      0.3029
       21.76      0.0177      0.8931           0
        23.2      0.0198       1.516      0.2884
       23.05       0.019       1.384      0.2191
       21.67      0.0231           -1           -1
       23.39      0.0203         2.6      0.3906
        22.9      0.0232           0           0
       24.28      0.0261      0.5917      0.5811
       24.02      0.0227       2.282      0.5246
       24.75      0.0311       1.711      0.9043
       24.56      0.0292       1.678       0.751
       24.29      0.0257       2.928      0.6279
       23.54      0.0201       1.511      0.3376
       25.25      0.0412       2.426       2.054
       22.63       0.017        3.08      0.2854
       24.28      0.0251       1.829      0.4712
       24.36      0.0255       2.717      0.6766
       23.28      0.0186        3.34      0.4161
       23.97       0.022       3.972      0.7378
       25.63      0.0553       2.174       2.006
       25.47      0.0476       2.748       1.267
       24.72      0.0323      0.1609      0.8856
       25.16      0.0384       1.655       1.241
       24.59      0.0308       1.234      0.7436
       21.82      0.0184       1.925           0
        23.7      0.0206       1.998      0.2414
        23.1      0.0461      0.4074       59.95
       23.69      0.0212       1.301      0.3726
       25.93      0.0679           0           0
