|  theta | theta_kpc |        w |    w_err |
|   0.06 |     20.94 |   0.3067 |   0.1594 |
|   0.14 |     48.87 |   0.2426 |   0.1126 |
|   0.22 |     76.79 |   0.1965 |   0.0944 |
|   0.30 |    104.72 |   0.1590 |   0.0870 |
|   0.38 |    132.65 |   0.1075 |   0.0754 |
|   0.46 |    160.57 |   0.0029 |   0.0664 |
|   0.54 |    188.50 |   0.0899 |   0.0687 |
|   0.62 |    216.42 |   0.0045 |   0.0627 |
|   0.70 |    244.35 |  -0.0519 |   0.0565 |
|   0.78 |    272.28 |  -0.0466 |   0.0568 |
|   0.86 |    300.20 |  -0.0068 |   0.0555 |
|   0.94 |    328.13 |  -0.0976 |   0.0549 |
|   1.02 |    356.06 |  -0.0523 |   0.0570 |
|   1.10 |    383.98 |  -0.0499 |   0.0587 |
|   1.18 |    411.91 |  -0.0249 |   0.0612 |
