|  theta | distance |        w |    w_err |
|   0.06 |    21.26 |   0.2990 |   0.1585 |
|   0.14 |    49.60 |   0.2362 |   0.1131 |
|   0.22 |    77.95 |   0.1914 |   0.0950 |
|   0.30 |   106.29 |   0.1588 |   0.0871 |
|   0.38 |   134.64 |   0.1058 |   0.0761 |
|   0.46 |   162.98 |  -0.0019 |   0.0661 |
|   0.54 |   191.32 |   0.0850 |   0.0696 |
|   0.62 |   219.67 |  -0.0074 |   0.0621 |
|   0.70 |   248.01 |  -0.0529 |   0.0584 |
|   0.78 |   276.36 |  -0.0467 |   0.0557 |
|   0.86 |   304.71 |  -0.0059 |   0.0565 |
|   0.94 |   333.05 |  -0.0984 |   0.0547 |
|   1.02 |   361.40 |  -0.0442 |   0.0570 |
|   1.10 |   389.74 |  -0.0452 |   0.0587 |
|   1.18 |   418.09 |  -0.0135 |   0.0624 |
