|                ID |            RA |            DEC |      RA_hms |      DEC_dms |
| NGFS033301-353635 |     53.253453 |     -35.609608 | 03:33:00.83 | -35:36:34.59 |
| NGFS033309-352349 |     53.285963 |     -35.396949 | 03:33:08.63 | -35:23:49.02 |
| NGFS033311-353956 |     53.295536 |     -35.665602 | 03:33:10.93 | -35:39:56.17 |
| NGFS033316-353551 |      53.31658 |     -35.597473 | 03:33:15.98 | -35:35:50.90 |
| NGFS033331-352654 |     53.380874 |     -35.448333 | 03:33:31.41 | -35:26:54.00 |
| NGFS033333-354216 |     53.387633 |     -35.704436 | 03:33:33.03 | -35:42:15.97 |
| NGFS033342-351001 |     53.426508 |     -35.167066 | 03:33:42.36 | -35:10:01.44 |
| NGFS033343-355137 |     53.429284 |     -35.860335 | 03:33:43.03 | -35:51:37.21 |
| NGFS033347-350407 |     53.446502 |     -35.068547 | 03:33:47.16 | -35:04:06.77 |
| NGFS033348-355010 |     53.451743 |     -35.836019 | 03:33:48.42 | -35:50:09.67 |
| NGFS033350-355706 |     53.457808 |     -35.951715 | 03:33:49.87 | -35:57:06.17 |
| NGFS033356-350949 |     53.484699 |     -35.163646 | 03:33:56.33 | -35:09:49.13 |
| NGFS033400-354533 |     53.498979 |      -35.75924 | 03:33:59.75 | -35:45:33.26 |
| NGFS033406-351638 |     53.524865 |     -35.277294 | 03:34:05.97 | -35:16:38.26 |
| NGFS033407-352838 |     53.529061 |      -35.47722 | 03:34:06.97 | -35:28:37.99 |
| NGFS033407-352252 |     53.530179 |     -35.381202 | 03:34:07.24 | -35:22:52.33 |
| NGFS033409-353100 |     53.538247 |     -35.516529 | 03:34:09.18 | -35:30:59.50 |
| NGFS033412-354401 |     53.550338 |     -35.733657 | 03:34:12.08 | -35:44:01.17 |
| NGFS033414-354910 |     53.559525 |      -35.81946 | 03:34:14.29 | -35:49:10.06 |
| NGFS033418-354741 |     53.576058 |     -35.794642 | 03:34:18.25 | -35:47:40.71 |
| NGFS033422-353349 |     53.590659 |     -35.563703 | 03:34:21.76 | -35:33:49.33 |
| NGFS033423-355042 |     53.597238 |      -35.84497 | 03:34:23.34 | -35:50:41.89 |
| NGFS033425-355805 |     53.602888 |      -35.96802 | 03:34:24.69 | -35:58:04.87 |
| NGFS033427-350621 |     53.613253 |     -35.105768 | 03:34:27.18 | -35:06:20.76 |
| NGFS033428-354837 |     53.618306 |     -35.810364 | 03:34:28.39 | -35:48:37.31 |
| NGFS033429-345640 |     53.618841 |     -34.944465 | 03:34:28.52 | -34:56:40.07 |
| NGFS033433-350236 |      53.63563 |     -35.043195 | 03:34:32.55 | -35:02:35.50 |
| NGFS033436-360315 |     53.651586 |     -36.054242 | 03:34:36.38 | -36:03:15.27 |
| NGFS033443-353115 |     53.680791 |     -35.520855 | 03:34:43.39 | -35:31:15.08 |
| NGFS033446-354239 |     53.692022 |     -35.710803 | 03:34:46.09 | -35:42:38.89 |
| NGFS033452-355903 |     53.717955 |     -35.984151 | 03:34:52.31 | -35:59:02.94 |
| NGFS033456-352741 |     53.732771 |     -35.461505 | 03:34:55.87 | -35:27:41.42 |
| NGFS033457-354115 |     53.735651 |     -35.687366 | 03:34:56.56 | -35:41:14.52 |
| NGFS033458-351324 |     53.739835 |      -35.22345 | 03:34:57.56 | -35:13:24.42 |
| NGFS033500-351920 |     53.750845 |     -35.322295 | 03:35:00.20 | -35:19:20.26 |
| NGFS033505-352703 |     53.772229 |     -35.450817 | 03:35:05.33 | -35:27:02.94 |
