|                ID |           RA |          DEC |      RA_hms |      DEC_dms |    m_i |    M_i | sersic_n | reff_arcsec | reff_kpc |    Reference |
| NGFS033301-353635 |    53.253453 |   -35.609608 | 03:33:00.83 | -35:36:34.59 |  17.70 | -13.81 |     0.89 |       5.397 |    0.523 |              |
| NGFS033309-352349 |    53.285963 |   -35.396949 | 03:33:08.63 | -35:23:49.02 |  19.18 | -12.33 |     0.81 |       7.088 |    0.687 |       FCC114 |
| NGFS033311-353956 |    53.295536 |   -35.665602 | 03:33:10.93 | -35:39:56.17 |  20.56 | -10.95 |     0.63 |       8.950 |    0.868 |              |
| NGFS033316-353551 |    53.316580 |   -35.597473 | 03:33:15.98 | -35:35:50.90 |  21.00 | -10.51 |     0.69 |       2.554 |    0.248 |              |
| NGFS033331-352654 |    53.380874 |   -35.448333 | 03:33:31.41 | -35:26:54.00 |  22.74 |  -8.77 |     0.47 |       2.427 |    0.235 |              |
| NGFS033333-354216 |    53.387633 |   -35.704436 | 03:33:33.03 | -35:42:15.97 |  20.47 | -11.04 |     0.67 |       3.419 |    0.332 |              |
| NGFS033342-351001 |    53.426508 |   -35.167066 | 03:33:42.36 | -35:10:01.44 |  22.02 |  -9.49 |     1.01 |       1.767 |    0.171 |              |
| NGFS033343-355137 |    53.429284 |   -35.860335 | 03:33:43.03 | -35:51:37.21 |  16.38 | -15.13 |     0.60 |      28.012 |    2.716 |              |
| NGFS033347-350407 |    53.446502 |   -35.068547 | 03:33:47.16 | -35:04:06.77 |  21.22 | -10.29 |     0.78 |       1.970 |    0.191 |              |
| NGFS033348-355010 |    53.451743 |   -35.836019 | 03:33:48.42 | -35:50:09.67 |  18.15 | -13.36 |     0.71 |       9.081 |    0.881 |       FCC125 |
| NGFS033350-355706 |    53.457808 |   -35.951715 | 03:33:49.87 | -35:57:06.17 |  21.42 | -10.09 |     0.45 |       4.411 |    0.428 |              |
| NGFS033356-350949 |    53.484699 |   -35.163646 | 03:33:56.33 | -35:09:49.13 |  22.03 |  -9.48 |     1.23 |       1.531 |    0.148 |              |
| NGFS033400-354533 |    53.498979 |   -35.759240 | 03:33:59.75 | -35:45:33.26 |  18.81 | -12.70 |     0.87 |       5.707 |    0.553 |              |
