|                ID |           RA |          DEC |      RA_hms |      DEC_dms |    m_i |    M_i | sersic_n | reff_arcsec | reff_kpc |     Reference |         MType |
| NGFS033415-353341 |    53.564451 |   -35.561258 | 03:34:15.47 | -35:33:40.53 |  21.18 | -10.33 |     0.74 |       2.506 |    0.243 |               |               |
| NGFS033746-350310 |    54.442189 |   -35.052727 | 03:37:46.13 | -35:03:09.82 |  19.83 | -11.68 |     0.71 |       2.712 |    0.263 |               |               |
| NGFS034218-352819 |    55.574258 |   -35.471924 | 03:42:17.82 | -35:28:18.93 |  20.73 | -10.78 |     1.00 |       3.293 |    0.319 |     WFLSB11-1 |               |
| NGFS033703-354802 |    54.264088 |   -35.800585 | 03:37:03.38 | -35:48:02.11 |  19.78 | -11.73 |     1.03 |       4.242 |    0.411 |               |               |
| NGFS033322-353620 |    53.342419 |   -35.605612 | 03:33:22.18 | -35:36:20.20 |  18.70 | -12.81 |     0.88 |       4.439 |    0.430 |               |               |
| NGFS033446-345334 |    53.691902 |   -34.892657 | 03:34:46.06 | -34:53:33.57 |  21.03 | -10.48 |     0.65 |       4.463 |    0.433 |               |               |
| NGFS034016-353946 |    55.065274 |   -35.662729 | 03:40:15.67 | -35:39:45.82 |  20.11 | -11.40 |     0.56 |       4.629 |    0.449 |               |               |
| NGFS033837-355502 |    54.655061 |   -35.917138 | 03:38:37.21 | -35:55:01.70 |  19.39 | -12.12 |     0.80 |       4.655 |    0.451 |      WFLSB9-4 |               |
| NGFS033708-344353 |    54.283989 |   -34.731292 | 03:37:08.16 | -34:43:52.65 |  18.02 | -13.49 |     0.76 |       4.766 |    0.462 |        FCC189 |         dE4,N |
| NGFS033412-351343 |    53.550538 |   -35.228691 | 03:34:12.13 | -35:13:43.29 |  19.66 | -11.85 |     0.75 |       5.328 |    0.517 |        FCC131 |           dE3 |
| NGFS034135-352625 |    55.396002 |   -35.440146 | 03:41:35.04 | -35:26:24.53 |  18.36 | -13.15 |     0.77 |       5.413 |    0.525 |               |               |
| NGFS033710-352312 |    54.291531 |   -35.386672 | 03:37:09.97 | -35:23:12.02 |  18.65 | -12.86 |     0.69 |       5.439 |    0.527 |        FCC191 |           dE3 |
| NGFS033718-354157 |    54.324600 |   -35.699200 | 03:37:17.90 | -35:41:57.12 |  17.52 | -13.99 |     0.73 |       5.960 |    0.578 |        FCC194 |           dE3 |
| NGFS033512-351923 |    53.797959 |   -35.323003 | 03:35:11.51 | -35:19:22.81 |  18.92 | -12.59 |     0.73 |       6.057 |    0.587 |        FCC146 |         dE4,N |
| NGFS033727-355747 |    54.364490 |   -35.963073 | 03:37:27.48 | -35:57:47.06 |  19.74 | -11.77 |     0.89 |       6.228 |    0.604 |     WFLSB10-6 |               |
