|                ID |           RA |          DEC |      RA_hms |      DEC_dms |    m_i |    M_i | sersic_n | reff_arcsec | reff_kpc |
| NGFS033322-353620 |    53.342419 |   -35.605612 | 03:33:22.18 | -35:36:20.20 |  18.70 | -12.84 |     0.88 |       4.439 |    0.484 |
| NGFS033332-353942 |    53.383786 |   -35.661725 | 03:33:32.11 | -35:39:42.21 |  19.86 | -11.68 |     1.00 |       8.258 |    0.514 |
|            FCC131 |    53.550538 |   -35.228691 | 03:34:12.13 | -35:13:43.29 |  19.66 | -11.88 |     0.75 |       5.328 |    0.509 |
| NGFS033415-353341 |    53.564451 |   -35.561258 | 03:34:15.47 | -35:33:40.53 |  21.18 | -10.36 |     0.74 |       2.506 |    0.548 |
|            FCC133 |    53.583890 |   -35.362628 | 03:34:20.13 | -35:21:45.46 |  16.78 | -14.76 |     1.05 |      11.840 |    0.434 |
|            FCC137 |    53.683823 |   -35.861480 | 03:34:44.12 | -35:51:41.33 |  16.17 | -15.37 |     1.05 |      12.537 |    0.419 |
| NGFS033446-345334 |    53.691902 |   -34.892657 | 03:34:46.06 | -34:53:33.57 |  21.03 | -10.51 |     0.65 |       4.463 |    0.544 |
| NGFS033453-353411 |    53.719671 |   -35.569758 | 03:34:52.72 | -35:34:11.13 |    nan |    nan |      nan |         nan |      nan |
|            FCC140 |    53.735033 |   -35.190952 | 03:34:56.41 | -35:11:27.43 |  18.12 | -13.42 |     0.81 |       9.097 |    0.469 |
|            FCC142 |    53.742468 |   -35.043002 | 03:34:58.19 | -35:02:34.81 |  17.85 | -13.69 |     1.34 |      10.244 |    0.462 |
|            FCC146 |    53.797959 |   -35.323003 | 03:35:11.51 | -35:19:22.81 |  18.92 | -12.62 |     0.73 |       6.057 |    0.490 |
|            FCC151 |    53.854897 |   -36.179021 | 03:35:25.18 | -36:10:44.48 |  17.54 | -14.00 |     1.04 |      10.283 |    0.454 |
|            FCC157 |    53.928168 |   -35.514147 | 03:35:42.76 | -35:30:50.93 |  17.62 | -13.92 |     0.89 |      12.214 |    0.456 |
|            FCC158 |    53.942720 |   -35.989296 | 03:35:46.25 | -35:59:21.47 |  16.15 | -15.39 |     0.83 |      17.629 |    0.418 |
|            FCC160 |    54.016784 |   -35.388877 | 03:36:04.03 | -35:23:19.96 |  16.63 | -14.91 |     1.05 |      12.022 |    0.430 |
|            FCC165 |    54.098334 |   -35.911538 | 03:36:23.60 | -35:54:41.54 |  16.81 | -14.73 |     0.76 |      12.916 |    0.435 |
|            FCC168 |    54.116498 |   -35.210838 | 03:36:27.96 | -35:12:39.02 |  18.08 | -13.46 |     0.93 |       7.774 |    0.468 |
| NGFS033632-362537 |    54.134107 |   -36.427045 | 03:36:32.19 | -36:25:37.36 |  19.23 | -12.31 |     0.84 |       8.771 |    0.498 |
|            FCC171 |    54.155160 |   -35.385909 | 03:36:37.24 | -35:23:09.27 |  17.30 | -14.24 |     1.76 |      21.145 |    0.448 |
|            FCC183 |    54.219356 |   -36.486511 | 03:36:52.65 | -36:29:11.44 |  16.56 | -14.98 |     0.95 |      12.750 |    0.429 |
|            FCC181 |    54.221898 |   -34.938538 | 03:36:53.26 | -34:56:18.74 |  16.47 | -15.07 |     0.79 |       9.749 |    0.426 |
