|  theta | theta_kpc |        w |    w_err |
|   0.06 |     20.94 |   0.2472 |   0.1904 |
|   0.14 |     48.87 |   0.1428 |   0.1311 |
|   0.22 |     76.79 |   0.0777 |   0.1077 |
|   0.30 |    104.72 |   0.0492 |   0.0962 |
|   0.38 |    132.65 |   0.0607 |   0.0862 |
|   0.46 |    160.57 |  -0.0264 |   0.0787 |
|   0.54 |    188.50 |   0.0378 |   0.0804 |
|   0.62 |    216.42 |  -0.0180 |   0.0767 |
|   0.70 |    244.35 |  -0.0705 |   0.0707 |
|   0.78 |    272.28 |  -0.0691 |   0.0680 |
|   0.86 |    300.20 |   0.0400 |   0.0664 |
|   0.94 |    328.13 |  -0.0606 |   0.0643 |
|   1.02 |    356.06 |  -0.0126 |   0.0670 |
|   1.10 |    383.98 |  -0.0022 |   0.0656 |
|   1.18 |    411.91 |   0.0335 |   0.0703 |
