#galaxy	 FFraction	 n	 Int. Magnitude	 mu_e	 r_e	 r_e_kpc	 axis ratio	 position angle	 r_e total	 r_e total_kpc	 mu_e total	 Apparent Mag	 Abs Mag	 Reduced Chi2
NGC 1373		18.67185		0.8016		17.00301		26.1332		20.30458		1.998319		0.6769		30.0467		10.2	1.004	23.551		15.181		-16.356		1.092415		
NGC 1373		9.730002		2.7818		17.71069		20.8356		0.966196		0.095090		0.245		88.7534		...		...		...			...			...			...		
NGC 1373		71.59814		2.8962		15.54372		23.6903		9.665870		0.951287		0.7336		-56.5341	...		...		...			...			...			...		
NGC 1374		42.742672		3.1734		14.420095		23.6782		15.779122		1.5529366		0.8741		-59.1824	22.35	2.2		23.43		13.497		-18.04		0.5944694		
NGC 1374		3.7333989		2.2771		17.066988		20.0654		0.9556224		0.0940496		0.6532		-67.3849	...		...		...			...			...			...		
NGC 1374		53.523928		1.6753		14.175879		24.5183		30.199187		2.9721188		0.9341		-59.0926	...		...		...			...			...			...		
NGC 1379		16.2959			0.4146		15.4937			26.149		46.4033			4.56688			0.9432		36.1289		24.0	2.362	23.497		13.524		-18.014		1.21894		
NGC 1379		3.61825			2.3866		17.1277			19.9163		0.85807			0.08444			0.7339		-74.445		...		...		...			...			...			...		
NGC 1379		80.0857			1.8811		13.7650			23.4098		21.3243			2.09867			0.9727		4.3033		...		...		...			...			...			...		
NGC 1399		66.3856656		1.1447		12.6305804		24.4518		64.9917393		6.39630374		0.9305		85.9317		39.15	3.853	23.456		12.186		-19.352		0.08938631		
NGC 1399		32.3744480		1.5536		13.4102603		21.6154		11.4818144		1.13000776		0.8631		-67.6052	...		...		...			...			...			...		
NGC 1399		1.23988628		0.6658		16.9523115		21.7039		2.8062954		0.27618767		0.8844		-80.8255	...		...		...			...			...			...		
NGC 1404		94.127115		3.1643		12.479029		22.8767		26.686650		2.6264248		0.8696		-20.4301	24.55	2.416	22.661		12.413		-19.124		0.2727264		
NGC 1404		1.9787444		0.5863		16.672342		25.2136		16.472890		1.6212154		0.5273		44.1068		...		...		...			...			...			...		
NGC 1404		3.8941398		0.545		15.937287		22.3484		6.2619520		0.6162836		0.7579		-29.4984	...		...		...			...			...			...		
NGC 1427		82.521125		1.9007		13.181577		23.9124		35.079641		3.4524393		0.6974		78.8872		26.7	2.628	23.394		12.973		-18.564		0.5544505		
NGC 1427		9.4492050		1.4393		15.534501		18.8329		1.2194806		0.1200178		0.2256		67.1894		...		...		...			...			...			...		
NGC 1427		8.0296698		1.5853		15.711245		22.0061		4.7419588		0.4666902		0.7263		76.5167		...		...		...			...			...			...		
NGC 1428		54.25777		1.1542		15.31738		25.3122		27.97630		2.753348		0.5065		-67.0099	14.8	1.457	23.553		14.654		-16.884		1.077568		
NGC 1428		37.48573		0.7726		15.71887		23.1081		9.176654		0.903140		0.6366		-62.0608	...		...		...			...			...			...		
NGC 1428		8.256484		1.4562		17.36155		22.6605		3.055913		0.300754		0.784		88.6006		...		...		...			...			...			...		
