|                ID |            RA |            DEC |      RA_hms |      DEC_dms |
| NGFS033322-353620 |     53.342419 |     -35.605612 | 03:33:22.18 | -35:36:20.20 |
| NGFS033332-353942 |     53.383786 |     -35.661725 | 03:33:32.11 | -35:39:42.21 |
|            FCC131 |     53.550538 |     -35.228691 | 03:34:12.13 | -35:13:43.29 |
| NGFS033415-353341 |     53.564451 |     -35.561258 | 03:34:15.47 | -35:33:40.53 |
|            FCC133 |      53.58389 |     -35.362628 | 03:34:20.13 | -35:21:45.46 |
|            FCC137 |     53.683823 |      -35.86148 | 03:34:44.12 | -35:51:41.33 |
| NGFS033446-345334 |     53.691902 |     -34.892657 | 03:34:46.06 | -34:53:33.57 |
| NGFS033453-353411 |     53.719671 |     -35.569758 | 03:34:52.72 | -35:34:11.13 |
|            FCC140 |     53.735033 |     -35.190952 | 03:34:56.41 | -35:11:27.43 |
|            FCC142 |     53.742468 |     -35.043002 | 03:34:58.19 | -35:02:34.81 |
|            FCC146 |     53.797959 |     -35.323003 | 03:35:11.51 | -35:19:22.81 |
|            FCC151 |     53.854897 |     -36.179021 | 03:35:25.18 | -36:10:44.48 |
|            FCC157 |     53.928168 |     -35.514147 | 03:35:42.76 | -35:30:50.93 |
|            FCC158 |      53.94272 |     -35.989296 | 03:35:46.25 | -35:59:21.47 |
|            FCC160 |     54.016784 |     -35.388877 | 03:36:04.03 | -35:23:19.96 |
|            FCC165 |     54.098334 |     -35.911538 | 03:36:23.60 | -35:54:41.54 |
|            FCC168 |     54.116498 |     -35.210838 | 03:36:27.96 | -35:12:39.02 |
| NGFS033632-362537 |     54.134107 |     -36.427045 | 03:36:32.19 | -36:25:37.36 |
|            FCC171 |      54.15516 |     -35.385909 | 03:36:37.24 | -35:23:09.27 |
|            FCC183 |     54.219356 |     -36.486511 | 03:36:52.65 | -36:29:11.44 |
|            FCC181 |     54.221898 |     -34.938538 | 03:36:53.26 | -34:56:18.74 |
| NGFS033700-352035 |        54.249 |        -35.343 | 03:36:59.76 | -35:20:34.80 |
| NGFS033700-350816 |       54.2494 |       -35.1377 | 03:36:59.86 | -35:08:15.72 |
| NGFS033703-354802 |     54.264088 |     -35.800585 | 03:37:03.38 | -35:48:02.11 |
|            FCC189 |     54.283989 |     -34.731292 | 03:37:08.16 | -34:43:52.65 |
|            FCC191 |     54.291531 |     -35.386672 | 03:37:09.97 | -35:23:12.02 |
|            FCC192 |     54.292896 |     -35.888095 | 03:37:10.30 | -35:53:17.14 |
|            FCC194 |       54.3246 |       -35.6992 | 03:37:17.90 | -35:41:57.12 |
| NGFS033727-355747 |      54.36449 |     -35.963073 | 03:37:27.48 | -35:57:47.06 |
|            FCC196 |     54.391709 |     -35.829211 | 03:37:34.01 | -35:49:45.16 |
| NGFS033746-350310 |     54.442189 |     -35.052727 | 03:37:46.13 | -35:03:09.82 |
|            FCC208 |     54.578149 |     -35.530927 | 03:38:18.76 | -35:31:51.34 |
| NGFS033837-355502 |     54.655061 |     -35.917138 | 03:38:37.21 | -35:55:01.70 |
|            FCC215 |       54.6568 |     -35.757592 | 03:38:37.63 | -35:45:27.33 |
|            FCC218 |       54.6889 |     -35.266646 | 03:38:45.34 | -35:15:59.93 |
| NGFS033854-344932 |      54.72598 |     -34.825656 | 03:38:54.24 | -34:49:32.36 |
|            FCC221 |     54.773995 |     -36.099097 | 03:39:05.76 | -36:05:56.75 |
|            FCC223 |     54.831847 |     -35.724648 | 03:39:19.64 | -35:43:28.73 |
|            FCC227 |      54.95862 |     -35.522855 | 03:39:50.07 | -35:31:22.28 |
|            FCC229 |     54.980814 |     -35.661947 | 03:39:55.40 | -35:39:43.01 |
| NGFS033956-353721 |     54.985092 |     -35.622365 | 03:39:56.42 | -35:37:20.51 |
| NGFS034001-344323 |     55.002304 |     -34.723117 | 03:40:00.55 | -34:43:23.22 |
|            FCC236 |     55.040341 |     -35.836294 | 03:40:09.68 | -35:50:10.66 |
| NGFS034016-353946 |     55.065274 |     -35.662729 | 03:40:15.67 | -35:39:45.82 |
| NGFS034019-361850 |     55.080634 |     -36.313924 | 03:40:19.35 | -36:18:50.13 |
|            FCC241 |     55.097799 |     -35.276659 | 03:40:23.47 | -35:16:35.97 |
|            FCC244 |     55.127717 |      -35.87795 | 03:40:30.65 | -35:52:40.62 |
|            FCC246 |     55.157215 |     -36.121158 | 03:40:37.73 | -36:07:16.17 |
| NGFS034044-361108 |     55.182713 |     -36.185439 | 03:40:43.85 | -36:11:07.58 |
|            FCC254 |     55.253216 |     -35.742658 | 03:41:00.77 | -35:44:33.57 |
|            FCC259 |     55.279993 |     -35.514436 | 03:41:07.20 | -35:30:51.97 |
|            FCC260 |     55.303447 |     -35.158797 | 03:41:12.83 | -35:09:31.67 |
| NGFS034135-352625 |     55.396002 |     -35.440146 | 03:41:35.04 | -35:26:24.53 |
| NGFS034218-352819 |     55.574258 |     -35.471924 | 03:42:17.82 | -35:28:18.93 |
| NGFS034225-353541 |      55.60503 |     -35.594732 | 03:42:25.21 | -35:35:41.04 |
|            FCC238 | 55.0710556404 | -36.5335001379 | 03:40:17.05 | -36:32:00.60 |
|            FCC243 | 55.1120260909 | -36.4975516023 | 03:40:26.89 | -36:29:51.19 |
|            FCC245 | 55.1404932978 | -35.0212595609 | 03:40:33.72 | -35:01:16.53 |
|            FCC188 | 54.2688552436 | -35.5886485087 | 03:37:04.53 | -35:35:19.13 |
|            FCC136 | 53.6225275372 | -35.5447248832 | 03:34:29.41 | -35:32:41.01 |
|            FCC252 |   55.20933511 |  -35.746819457 | 03:40:50.24 | -35:44:48.55 |
|            FCC195 |     54.346543 |     -34.900292 | 03:37:23.17 | -34:54:01.05 |
|            FCC257 |     55.266536 |     -35.647586 | 03:41:03.97 | -35:38:51.31 |
|            FCC266 | 55.4215639493 | -35.1687706627 | 03:41:41.18 | -35:10:07.57 |
|            FCC202 | 54.5267290233 | -35.4382749438 | 03:38:06.41 | -35:26:17.79 |
|            FCC150 | 53.8496620965 | -36.3622885814 | 03:35:23.92 | -36:21:44.24 |
|            FCC264 | 55.3820367537 | -35.5877841545 | 03:41:31.69 | -35:35:16.02 |
|            FCC211 | 54.5889256026 | -35.2582409857 | 03:38:21.34 | -35:15:29.67 |
|            FCC274 | 55.5715398906 | -35.5390965177 | 03:42:17.17 | -35:32:20.75 |
|            FCC159 |     53.981764 |     -34.828508 | 03:35:55.62 | -34:49:42.63 |
|            FCC222 | 54.8053294148 | -35.3696543556 | 03:39:13.28 | -35:22:10.76 |
