|            RA |            DEC | FCC | Mem |            MType | BTmag |
|  47.862774781 | -33.4172599454 |   1 |   2 |             dE,N |  18.5 |
| 48.9265118303 | -33.5411154341 |   2 |   1 |       d:SBc(LSB) |  15.1 |
| 49.4221081388 | -37.1479661977 |   4 |   1 |              dE2 |  17.0 |
| 49.4658762742 | -36.7664570632 |   5 |   1 |        dE5 / ImV |  17.3 |
| 49.4721872895 | -35.6514697722 |   6 |   1 |              dE5 |  16.0 |
| 49.6931117839 | -35.5456174899 |   7 |   1 |              dE1 |  18.9 |
| 49.7259699611 | -33.3257188721 |   8 |   2 |              dE? |  18.5 |
| 50.1059418373 | -34.5704725555 |  11 |   2 |            dE4,N |  17.0 |
| 50.3001429366 | -36.2662119763 |  14 |   1 |              dE3 |  17.6 |
| 50.4155296801 | -33.4532830126 |  15 |   1 |              dE7 |  16.6 |
| 50.4309678971 | -35.9250304741 |  16 |   1 |              dE2 |  17.8 |
| 50.5679565962 |  -33.717188805 |  17 |   2 |            dE3,N |  18.0 |
| 50.5949307516 |  -37.395936418 |  19 |   2 |       dS0  (8),N |  15.2 |
|  50.889615543 | -36.9812052961 |  25 |   1 |            dE0,N |  17.7 |
| 50.9823274888 | -34.8073662499 |  27 |   2 |              dE2 |  19.3 |
| 51.0070655276 | -37.2244278382 |  30 |   2 |        dE or dS0 |  18.9 |
| 51.0737379034 | -35.2616040667 |  31 |   2 |              dE4 |  16.8 |
| 51.2182759606 | -35.4340959296 |  32 |   1 |     dE pec / BCD |  15.4 |
| 51.2593861214 | -35.2234159604 |  34 |   2 |               dE |  18.4 |
|  51.300463392 | -32.9013271666 |  36 |   2 |        dE4 pec,N |  15.9 |
| 51.2891463336 | -36.5518750907 |  38 |   1 |          dE0 pec |  17.5 |
| 51.3532894476 | -36.7432309665 |  40 |   1 |              dE4 |  17.6 |
| 51.4423642596 | -35.5082783037 |  42 |   1 |              dE0 |  18.3 |
| 51.5096764022 | -32.8935086479 |  43 |   1 |     dS0 /2 (5),N |  13.5 |
| 51.5310143915 | -35.1274997681 |  44 |   2 |              dS0 |  17.5 |
|  51.604186638 | -37.1261312672 |  46 |   2 |              dE4 |  15.6 |
| 51.6773189574 | -34.5472167246 |  48 |   1 |              dE3 |  17.1 |
| 51.6813123792 | -37.2975374658 |  49 |   1 |              dE4 |  19.2 |
| 51.7250344359 | -35.5171300586 |  50 |   1 |            dE0,N |  16.6 |
| 51.7212992199 | -36.7974066474 |  51 |   1 |              dE4 |  18.5 |
| 51.7833503239 | -34.3984522265 |  52 |   1 |              dE1 |  18.5 |
| 51.8212182232 | -33.0344168561 |  54 |   2 |            dE1,N |  18.0 |
| 51.8394705004 | -36.1450723665 |  56 |   1 |            dE1,N |  17.5 |
| 51.8657159315 | -35.9221146273 |  57 |   1 |    dE6(boxy) pec |  17.8 |
| 51.8941601107 | -37.5030729197 |  58 |   1 |              dE2 |  18.0 |
| 51.9480722979 | -33.5635168197 |  59 |   1 |            dE0,N |  19.4 |
| 51.9999218509 |  -33.662604673 |  61 |   1 |            dE3,N |  18.0 |
| 51.9991870536 | -38.5393185982 |  64 |   1 |              dE5 |  17.5 |
| 52.0272582504 | -35.2352245177 |  65 |   1 |     dE6,N or dS0 |  17.5 |
| 52.1167978375 | -33.7330522309 |  66 |   1 |              dE3 |  16.9 |
| 52.2159796507 | -33.8445442094 |  68 |   1 |            dE5,N |  16.5 |
| 52.2571177762 | -37.3591821521 |  70 |   2 |           dE2,N? |  18.5 |
|  52.359012877 | -35.6023325634 |  71 |   2 |              dE2 |  20.5 |
| 52.3886571099 | -35.8663380149 |  72 |   1 |        dE0 / ImV |  19.3 |
| 52.3932806409 | -36.7016422683 |  73 |   2 |              dE3 |  19.4 |
| 52.4241783669 | -31.9622696922 |  74 |   2 |               dE |  17.7 |
|  52.407594267 | -35.3983504239 |  75 |   2 |              dE3 |  19.8 |
| 52.4244126149 | -36.2200901817 |  77 |   1 |            dE0,N |  18.2 |
| 52.4370261061 | -36.0551369499 |  79 |   2 |              dE? |  18.7 |
|  52.532888055 | -32.4738035781 |  80 |   1 |        dE or dS0 |  15.6 |
| 52.5415971144 | -33.6919043161 |  81 |   2 |            dE1,N |  17.1 |
| 52.6265804728 | -34.2586260498 |  82 |   1 |            dE1,N |  16.4 |
| 52.6520682526 | -35.0401210093 |  84 |   2 |           dE0,N? |  19.5 |
| 52.6919549726 | -35.5480577841 |  85 |   1 |            dE0,N |  16.3 |
| 52.6939199684 | -35.3530633597 |  86 |   1 |           dE5,N? |  17.5 |
| 52.7344754547 | -33.5557018489 |  87 |   1 |              dE3 |  18.6 |
|  52.800668811 | -33.2423432209 |  89 |   1 |             dE,N |  18.0 |
|  52.835899393 | -35.8180607827 |  93 |   2 |              dE2 |  19.4 |
| 52.8445721578 | -34.9703077859 |  94 |   1 |              dE0 |  19.3 |
| 52.8528905282 |  -35.329510281 |  95 |   1 |     dSB0 or dSBa |  14.6 |
| 52.8434064625 | -37.6108867841 |  96 |   2 |        dE0 / ImV |  19.2 |
| 52.8615014517 | -35.4931563669 |  97 |   1 |              dE1 |  19.0 |
| 52.9367624446 | -34.3367690036 |  99 |   1 |              dE4 |  17.1 |
| 52.9480639668 | -35.0501533015 | 100 |   1 |            dE4,N |  15.5 |
| 52.9448474175 |  -35.674313967 | 101 |   2 |       dE0,N or S |  17.2 |
| 53.1134880885 | -35.7738573065 | 103 |   1 |              dE2 |  19.3 |
| 53.1259098624 | -34.3466685729 | 104 |   2 |              dE6 |  18.5 |
| 53.1241107598 |  -36.086679594 | 105 |   1 |           dE1,N? |  17.3 |
| 53.1984718177 | -34.2372268546 | 106 |   1 |        d:S0(6),N |  15.1 |
| 53.1874834788 | -37.8350001779 | 107 |   1 |           dE3,N? |  17.0 |
| 53.2023060549 | -36.1517060268 | 108 |   1 |              dE0 |  19.1 |
| 53.1949283693 | -37.6403046941 | 109 |   1 |              dE4 |  18.3 |
|  53.238446676 | -35.7362864567 | 110 |   1 |              dE4 |  16.8 |
| 53.2645853513 | -33.7230340659 | 111 |   1 |            dE0,N |  16.8 |
| 53.2633519428 | -36.4419463079 | 112 |   1 |         dS0(5),N |  17.1 |
| 53.2857695249 | -35.3956334672 | 114 |   2 |             dE1? |  19.7 |
| 53.3029011486 |  -36.015984395 | 116 |   1 |            dE1,N |  16.1 |
| 53.3110490197 | -37.8196469114 | 117 |   1 |              dE0 |  18.2 |
| 53.3797878878 | -34.4540450192 | 118 |   1 |            dE0,N |  17.6 |
| 53.4264919695 | -32.4233733334 | 122 |   1 |              dS0 |  17.3 |
| 53.4537755225 | -34.1682191028 | 124 |   1 |        dE3 + ImV |  18.0 |
|  53.451582847 | -35.8346167527 | 125 |   1 |              dE4 |  18.7 |
| 53.4802113293 | -34.3452683545 | 126 |   1 |              dE0 |  20.4 |
| 53.5243167522 | -35.2751721354 | 127 |   2 |             dE3? |  19.8 |
| 53.5503809246 |  -35.226662175 | 131 |   2 |              dE3 |  20.3 |
| 53.5757357438 |  -35.793155978 | 132 |   2 |              dE2 |  18.5 |
| 53.5836926266 | -35.3606824491 | 133 |   1 |            dE0,N |  17.5 |
| 53.5902445161 | -34.5912555605 | 134 |   2 |   dE5 pec,N or E |  17.6 |
| 53.6281166972 | -34.2961225946 | 135 |   1 |         dS0(5),N |  15.5 |
| 53.6225275372 | -35.5447248832 | 136 |   1 |            dE2,N |  14.8 |
| 53.6834461906 | -35.8599662108 | 137 |   1 |            dE0,N |  16.9 |
| 53.7139451356 | -36.3217570734 | 138 |   2 |              dE2 |  18.6 |
| 53.7348047837 | -35.1896043039 | 140 |   1 |            dE4,N |  19.0 |
