|            RA |            DEC | FCC | Mem |       MType | BTmag |
| 53.2857695249 | -35.3956334672 | 114 |   2 |        dE1? |  19.7 |
|  53.451582847 | -35.8346167527 | 125 |   1 |         dE4 |  18.7 |
| 53.5243167522 | -35.2751721354 | 127 |   2 |        dE3? |  19.8 |
| 53.5503809246 |  -35.226662175 | 131 |   2 |         dE3 |  20.3 |
| 53.5757357438 |  -35.793155978 | 132 |   2 |         dE2 |  18.5 |
| 53.5836926266 | -35.3606824491 | 133 |   1 |       dE0,N |  17.5 |
| 53.6225275372 | -35.5447248832 | 136 |   1 |       dE2,N |  14.8 |
| 53.6834461906 | -35.8599662108 | 137 |   1 |       dE0,N |  16.9 |
| 53.7348047837 | -35.1896043039 | 140 |   1 |       dE4,N |  19.0 |
| 53.7380401719 |  -35.205172675 | 141 |   2 |         dE4 |  19.7 |
| 53.7423263028 | -35.0410210448 | 142 |   1 |       dE2,N |  18.5 |
| 53.7506681804 |  -35.320778836 | 144 |   1 |         dE0 |  19.2 |
| 53.7724840386 |  -35.216974188 | 145 |   1 |         dE0 |  19.6 |
| 53.7976510891 | -35.3215182123 | 146 |   2 |       dE4,N |  19.5 |
| 53.8488057392 | -36.0900600434 | 149 |   2 |          dE |  19.9 |
| 53.8496620965 | -36.3622885814 | 150 |   1 |       dE4,N |  15.7 |
| 53.8553503361 | -36.1773088444 | 151 |   1 |      dE0,N? |  18.0 |
| 53.8766618032 | -35.2498823759 | 154 |   1 |         dE3 |  19.2 |
| 53.8909143506 | -34.8032668476 | 155 |   1 |         dE2 |  18.3 |
| 53.9277124766 | -35.3367500201 | 156 |   1 |         dE1 |  17.2 |
| 53.9279218588 |  -35.512586048 | 157 |   1 |      dE0,N? |  18.3 |
| 53.9425545382 |  -35.988204089 | 158 |   1 |       dE6,N |  16.8 |
| 53.9814319305 | -34.8263997268 | 159 |   1 |       dE3,N |  18.1 |
| 54.0163991974 | -35.3873761934 | 160 |   1 |       dE1,N |  17.7 |
| 54.0302724627 |  -35.432153345 | 162 |   1 |         dE0 |  20.0 |
| 54.0282567172 |  -35.841316499 | 163 |   1 |         dE0 |  19.8 |
| 54.0533418165 |  -36.165029612 | 164 |   1 |    dS0(5),N |  16.4 |
| 54.0977015922 | -35.9099232875 | 165 |   1 |         dE6 |  17.5 |
| 54.1155841579 | -35.2091526809 | 168 |   1 |         dE0 |  18.7 |
| 54.1296189189 | -34.8008701766 | 169 |   1 |         dE2 |  17.2 |
| 54.1557156148 | -35.3845900686 | 171 |   2 |      dE0,N? |  17.9 |
| 54.1778767867 | -35.4341221836 | 175 |   2 |         dE3 |  18.8 |
| 54.2047265958 | -36.2281253106 | 180 |   1 |         dS0 |  18.0 |
| 54.2211411016 | -34.9367870638 | 181 |   1 |       dE2,N |  17.2 |
| 54.2198008253 | -36.4848541227 | 183 |   1 |    dS0(7),N |  17.2 |
| 54.2610138568 | -34.8738877657 | 185 |   1 |         dE3 |  19.5 |
| 54.2696700131 | -34.6016967478 | 187 |   1 |         dE5 |  17.5 |
| 54.2688552436 | -35.5886485087 | 188 |   1 |       dE0,N |  16.1 |
|  54.283894833 | -34.7298096611 | 189 |   2 |       dE4,N |  18.8 |
| 54.2912693071 | -35.3854012442 | 191 |   2 |         dE3 |  19.3 |
| 54.2916062601 | -35.8867968926 | 192 |   2 |         dE0 |  19.6 |
| 54.3243431551 | -35.6972015642 | 194 |   2 |         dE3 |  18.2 |
| 54.3469477956 | -34.8986709454 | 195 |   1 |       dE5,N |  16.7 |
