|            RA |            DEC | FCC | Mem |       MType | BTmag |
| 53.2857695249 | -35.3956334672 | 114 |   2 |        dE1? |  19.7 |
|  53.451582847 | -35.8346167527 | 125 |   1 |         dE4 |  18.7 |
| 53.5243167522 | -35.2751721354 | 127 |   2 |        dE3? |  19.8 |
| 53.5503809246 |  -35.226662175 | 131 |   2 |         dE3 |  20.3 |
| 53.5757357438 |  -35.793155978 | 132 |   2 |         dE2 |  18.5 |
| 53.7380401719 |  -35.205172675 | 141 |   2 |         dE4 |  19.7 |
| 53.7506681804 |  -35.320778836 | 144 |   1 |         dE0 |  19.2 |
| 53.7724840386 |  -35.216974188 | 145 |   1 |         dE0 |  19.6 |
| 53.8488057392 | -36.0900600434 | 149 |   2 |          dE |  19.9 |
| 53.8766618032 | -35.2498823759 | 154 |   1 |         dE3 |  19.2 |
| 53.8909143506 | -34.8032668476 | 155 |   1 |         dE2 |  18.3 |
| 53.9277124766 | -35.3367500201 | 156 |   1 |         dE1 |  17.2 |
| 54.0302724627 |  -35.432153345 | 162 |   1 |         dE0 |  20.0 |
| 54.0282567172 |  -35.841316499 | 163 |   1 |         dE0 |  19.8 |
| 54.0977015922 | -35.9099232875 | 165 |   1 |         dE6 |  17.5 |
| 54.1155841579 | -35.2091526809 | 168 |   1 |         dE0 |  18.7 |
| 54.1296189189 | -34.8008701766 | 169 |   1 |         dE2 |  17.2 |
| 54.1778767867 | -35.4341221836 | 175 |   2 |         dE3 |  18.8 |
| 54.2047265958 | -36.2281253106 | 180 |   1 |         dS0 |  18.0 |
| 54.2610138568 | -34.8738877657 | 185 |   1 |         dE3 |  19.5 |
| 54.2696700131 | -34.6016967478 | 187 |   1 |         dE5 |  17.5 |
| 54.2912693071 | -35.3854012442 | 191 |   2 |         dE3 |  19.3 |
| 54.2916062601 | -35.8867968926 | 192 |   2 |         dE0 |  19.6 |
| 54.3243431551 | -35.6972015642 | 194 |   2 |         dE3 |  18.2 |
| 54.3909236435 | -35.8277432039 | 196 |   1 |         dE6 |  17.7 |
| 54.4202967451 | -35.2947977152 | 197 |   1 |         dE3 |  19.1 |
|  54.477628491 |  -34.880575064 | 200 |   1 |         dE2 |  17.4 |
| 54.5795243583 | -36.0643237488 | 210 |   1 |         dE0 |  18.7 |
| 54.6520281462 | -35.8323856867 | 214 |   1 |         dE0 |  19.0 |
| 54.6886892815 | -35.2644689985 | 218 |   1 |         dE4 |  18.5 |
| 54.7291993844 | -35.2351846129 | 220 |   1 |         dE2 |  19.5 |
| 54.9587670997 |  -35.021092648 | 226 |   1 |         dE? |  17.8 |
|  54.963640794 | -35.3205597112 | 228 |   1 |         dE0 |  18.8 |
| 54.9798983853 | -35.6609058069 | 229 |   1 |         dE0 |  19.1 |
| 55.0408079794 | -35.8347608944 | 236 |   2 |         dE2 |  19.2 |
| 55.1274647979 | -35.8762171473 | 244 |   2 | dE6 / ImIV? |  18.2 |
|  55.156339445 | -36.1196681432 | 246 |   1 |         dE2 |  19.1 |
| 55.1757626705 | -35.6597403317 | 247 |   1 |   dE3 / Im? |  17.8 |
| 55.1803764048 | -35.8594831533 | 248 |   2 |         dE3 |  18.7 |
|  55.206193411 | -35.0220767181 | 251 |   1 |         dE0 |  19.0 |
| 55.2652383976 | -34.9531445715 | 256 |   1 |         dE3 |  20.1 |
| 55.2791304789 | -35.6887636303 | 258 |   1 |         dE2 |  19.6 |
| 55.2806033554 | -35.5134897738 | 259 |   2 |         dE2 |  17.8 |
| 55.3386911036 | -35.9470596362 | 262 |   1 |         dE1 |  17.8 |
| 55.4886179599 | -35.2907065842 | 269 |   1 |         dE0 |  18.3 |
| 55.5455095837 | -35.4423246362 | 272 |   1 |          dE |  19.2 |
| 55.5784865445 | -35.5594023184 | 275 |   1 |          dE |  19.3 |
| 55.6534315657 | -35.9544290254 | 280 |   1 |         dE1 |  18.6 |
| 55.6606224438 | -35.8664012728 | 281 |   1 |         dE1 |  17.9 |
| 55.8057953709 | -35.5172570911 | 287 |   2 |         dE0 |  18.0 |
