|            RA |            DEC | FCC | Mem |      MType | BTmag |
| 53.5836926266 | -35.3606824491 | 133 |   1 |      dE0,N |  17.5 |
| 53.6225275372 | -35.5447248832 | 136 |   1 |      dE2,N |  14.8 |
| 53.6834461906 | -35.8599662108 | 137 |   1 |      dE0,N |  16.9 |
| 53.7348047837 | -35.1896043039 | 140 |   1 |      dE4,N |  19.0 |
| 53.7423263028 | -35.0410210448 | 142 |   1 |      dE2,N |  18.5 |
| 53.7976510891 | -35.3215182123 | 146 |   2 |      dE4,N |  19.5 |
| 53.8496620965 | -36.3622885814 | 150 |   1 |      dE4,N |  15.7 |
| 53.8553503361 | -36.1773088444 | 151 |   1 |     dE0,N? |  18.0 |
| 53.9279218588 |  -35.512586048 | 157 |   1 |     dE0,N? |  18.3 |
| 53.9425545382 |  -35.988204089 | 158 |   1 |      dE6,N |  16.8 |
| 53.9814319305 | -34.8263997268 | 159 |   1 |      dE3,N |  18.1 |
| 54.0163991974 | -35.3873761934 | 160 |   1 |      dE1,N |  17.7 |
| 54.0533418165 |  -36.165029612 | 164 |   1 |   dS0(5),N |  16.4 |
| 54.1557156148 | -35.3845900686 | 171 |   2 |     dE0,N? |  17.9 |
| 54.2211411016 | -34.9367870638 | 181 |   1 |      dE2,N |  17.2 |
| 54.2198008253 | -36.4848541227 | 183 |   1 |   dS0(7),N |  17.2 |
| 54.2688552436 | -35.5886485087 | 188 |   1 |      dE0,N |  16.1 |
|  54.283894833 | -34.7298096611 | 189 |   2 |      dE4,N |  18.8 |
| 54.3469477956 | -34.8986709454 | 195 |   1 |      dE5,N |  16.7 |
| 54.5267290233 | -35.4382749438 | 202 |   1 |     d:E6,N |  15.3 |
| 54.5797201095 | -35.1273698533 | 207 |   1 |      dE2,N |  15.9 |
| 54.5777507607 | -35.5290330858 | 208 |   1 |      dE2,N |  17.3 |
| 54.5889256026 | -35.2582409857 | 211 |   2 |     d:E2,N |  16.3 |
| 54.6562331353 | -35.7554570328 | 215 |   2 |      dE,N? |  19.2 |
| 54.7735083682 | -36.0973140449 | 221 |   2 |      dE4,N |  17.7 |
| 54.8053294148 | -35.3696543556 | 222 |   1 |      dE0,N |  15.6 |
| 54.8310718571 | -35.7233714005 | 223 |   1 |      dE0,N |  16.2 |
| 54.9586989854 | -35.5210978421 | 227 |   1 |     dE0,N? |  19.3 |
| 55.0048253179 | -34.7565505169 | 230 |   1 |      dE5,N |  17.2 |
| 55.0710556404 | -36.5335001379 | 238 |   2 |      dE5,N |  18.7 |
| 55.0969858289 | -35.2744225479 | 241 |   1 |      dE0,N |  16.6 |
| 55.1120260909 | -36.4975516023 | 243 |   1 |      dE1,N |  16.5 |
| 55.1404932978 | -35.0212595609 | 245 |   1 |      dE0,N |  16.0 |
|   55.20933511 |  -35.746819457 | 252 |   1 |      dE0,N |  16.0 |
| 55.2526193959 | -35.7406029713 | 254 |   1 |      dE0,N |  17.6 |
| 55.2664982378 | -35.6459350145 | 257 |   2 |     dE0,N? |  18.1 |
| 55.3027005902 | -35.1569072785 | 260 |   1 |      dE0,N |  17.0 |
| 55.3820367537 | -35.5877841545 | 264 |   1 | dS0  (8),N |  16.8 |
| 55.4215639493 | -35.1687706627 | 266 |   1 |      dE0,N |  15.9 |
| 55.5715398906 | -35.5390965177 | 274 |   1 |      dE0,N |  16.5 |
