ID								RA						DEC
53_253306_35_609060              53.253453              -35.609608
53_285762_35_396929              53.285963              -35.396949
53_295176_35_665598              53.295536              -35.665602
53_315821_35_597663              53.316580              -35.597473
53_380874_35_448356              53.380874              -35.448333
53_387382_35_704210              53.387633              -35.704436
53_426233_35_167286              53.426508              -35.167066
53_430436_35_860049              53.429284              -35.860335
53_446177_35_068064              53.446502              -35.068547
53_451675_35_835922              53.451743              -35.836019
53_458109_35_951602              53.457808              -35.951715
53_484709_35_163650              53.484699              -35.163646
53_498904_35_758920              53.498979              -35.759240
53_524619_35_277499              53.524865              -35.277294
53_529150_35_477016              53.529061              -35.477220
53_530011_35_381264              53.530179              -35.381202
53_537977_35_516606              53.538247              -35.516529
53_550436_35_733282              53.550338              -35.733657
53_560168_35_819186              53.559525              -35.819460
53_576681_35_794560              53.576058              -35.794642
53_590354_35_563708              53.590659              -35.563703
53_597599_35_844980              53.597238              -35.844970
53_602807_35_967802              53.602888              -35.968020
53_612961_35_105400              53.613253              -35.105768
53_618460_35_810083              53.618306              -35.810364
53_618480_34_944905              53.618841              -34.944465
53_635799_35_044002              53.635630              -35.043195
53_651649_36_053778              53.651586              -36.054242
53_680782_35_521078              53.680791              -35.520855
53_692031_35_710561              53.692022              -35.710803
53_718145_35_984067              53.717955              -35.984151
53_732904_35_461180              53.732771              -35.461505
53_735537_35_687196              53.735651              -35.687366
53_739347_35_223394              53.739835              -35.223450
53_750431_35_322367              53.750845              -35.322295
53_772552_35_450631              53.772229              -35.450817
53_772834_35_218354              53.772831              -35.218592
53_799965_35_434004              53.799719              -35.434218
53_814924_35_503634              53.814204              -35.503450
53_849250_36_091686              53.849200              -36.091600
53_876170_35_252134              53.876525              -35.252294
53_890849_34_804632              53.891461              -34.804781
53_908651_35_093882              53.908864              -35.094240
53_927737_35_338164              53.928093              -35.338458
53_929346_35_847075              53.929432              -35.847585
53_947079_35_361855              53.947250              -35.361778
53_956606_35_707844              53.956502              -35.708022
53_965783_34_921944              53.966222              -34.921440
53_982479_34_828099              53.981764              -34.828508
53_988021_34_633059              53.987937              -34.632328
53_991062_35_348115              53.991060              -35.348000
54_000821_35_935951              54.000458              -35.936191
54_001093_34_877702              54.000817              -34.877802
54_004476_36_257775              54.004474              -36.257919
54_007253_35_311082              54.007345              -35.310717
54_010521_36_354278              54.010699              -36.354512
54_018987_36_335912              54.018900              -36.335900
54_027596_35_842648              54.027772              -35.842585
54_035132_35_987013              54.035091              -35.986927
54_039280_35_650737              54.039279              -35.650919
54_042297_35_671056              54.042107              -35.671438
54_048306_35_059115              54.048388              -35.059246
54_051180_35_745818              54.050916              -35.746384
54_083131_34_594537              54.083365              -34.594147
54_098793_35_522925              54.098615              -35.522680
54_099840_35_878367              54.099567              -35.878437
54_103852_34_746296              54.104510              -34.746349
54_105148_35_703007              54.104877              -35.703291
54_110446_35_639622              54.110988              -35.639164
54_130365_36_379736              54.130173              -36.380022
54_135555_36_134285              54.135644              -36.134365
54_160916_35_611454              54.160631              -35.611326
54_174061_34_710967              54.174171              -34.711461
54_182920_36_061547              54.182443              -36.062021
54_191855_35_923963              54.191307              -35.924264
54_205317_36_230112              54.204847              -36.229999
54_207702_34_948430              54.208147              -34.948504
54_217901_36_144548              54.217835              -36.144507
54_225304_35_927857              54.225296              -35.928023
54_226584_35_746638              54.226572              -35.747144
54_229175_36_353167              54.228827              -36.353391
54_229207_35_944156              54.229109              -35.944392
54_303837_36_257890              54.303830              -36.257890
54_312696_34_701092              54.312749              -34.701412
54_315217_35_357873              54.315355              -35.358242
54_316117_35_783222              54.315665              -35.783657
54_332503_35_521675              54.332849              -35.521601
54_393361_34_566559              54.393832              -34.566501
54_403239_34_741404              54.403584              -34.741585
54_410467_35_385560              54.410400              -35.385500
54_421274_35_296164              54.421200              -35.296146
54_421549_36_173427              54.420634              -36.173910
54_424704_35_955186              54.424789              -35.955757
54_435270_35_703485              54.435199              -35.703984
54_457849_35_550253              54.457799              -35.550438
54_461294_35_362599              54.462119              -35.362881
54_477239_34_882137              54.477823              -34.882293
54_526099_36_050424              54.526090              -36.050146
54_527956_35_592435              54.527900              -35.592000
54_531334_36_071826              54.531330              -36.072092
54_535323_36_008573              54.535271              -36.008354
54_536126_35_165484              54.535921              -35.165108
54_546496_36_337462              54.545856              -36.337657
54_561855_35_123046              54.562036              -35.122848
54_564169_36_280861              54.564160              -36.281169
54_575035_34_674522              54.575622              -34.674438
54_580221_36_065543              54.580131              -36.065719
54_593458_34_927071              54.593667              -34.926927
54_595687_35_759487              54.595511              -35.760315
54_603719_36_071817              54.603971              -36.071598
54_606718_36_095700              54.606718              -36.095700
54_613138_35_152030              54.613447              -35.152073
54_631350_34_774261              54.631123              -34.774638
54_652490_35_833886              54.652580              -35.833946
54_675841_35_552272              54.675859              -35.552130
54_695749_34_986740              54.695702              -34.986876
54_716883_36_301271              54.716789              -36.301054
54_726073_35_986390              54.725820              -35.986665
54_729106_35_237086              54.729368              -35.237000
54_740342_35_184769              54.739897              -35.184658
54_745879_35_740786              54.745801              -35.741138
54_753410_36_338243              54.753401              -36.338584
54_779224_35_122908              54.779490              -35.122876
54_816794_35_005674              54.816614              -35.005877
54_821872_35_778770              54.822072              -35.779284
54_843603_35_589896              54.843638              -35.590022
54_870302_35_572444              54.870451              -35.572583
54_884701_36_099635              54.884181              -36.099673
54_923278_35_531898              54.923359              -35.531899
54_924511_35_468637              54.924988              -35.468362
54_942374_36_191563              54.942303              -36.191657
54_950673_36_186131              54.950765              -36.186495
54_950837_34_773710              54.950856              -34.773438
54_959116_35_023323              54.959189              -35.023227
54_963258_36_012110              54.963183              -36.012438
54_964300_35_322490              54.964090              -35.322073
54_968992_36_141662              54.969000              -36.141946
54_977017_34_696208              54.977090              -34.696146
55_001372_36_093632              55.001275              -36.093656
55_007334_35_491729              55.007240              -35.491627
55_012880_35_488859              55.013060              -35.488945
55_012927_35_465776              55.012990              -35.465073
55_013045_36_361481              55.013096              -36.361876
55_018537_35_072778              55.018715              -35.072696
55_020824_34_652231              55.021332              -34.652052
55_025435_36_233845              55.025400              -36.233800
55_028498_34_598234              55.028801              -34.598362
55_051650_35_289438              55.052046              -35.288779
55_060339_36_268759              55.060488              -36.269022
55_075443_36_058640              55.075265              -36.058877
55_077814_35_130239              55.077401              -35.137506
55_077823_34_542607              55.078331              -34.542452
55_109358_35_003593              55.109478              -35.003499
55_111349_35_420001              55.111179              -35.419999
55_118091_34_786489              55.118089              -34.786073
55_140321_35_888154              55.140092              -35.888292
55_153262_35_355448              55.153440              -35.355145
55_169040_34_948892              55.168829              -34.948950
55_176859_35_660731              55.176865              -35.661430
55_180676_35_860706              55.180586              -35.860774
55_181396_35_540110              55.181661              -35.539524
55_188906_35_502452              55.188900              -35.502000
55_206726_35_388188              55.206793              -35.388438
55_207789_35_024212              55.207520              -35.023855
55_220155_35_117344              55.220374              -35.117729
55_236284_34_713511              55.236268              -34.713218
55_242254_36_332996              55.242253              -36.332917
55_266215_34_954278              55.266001              -34.954146
55_266820_35_647450              55.266536              -35.647586
55_276063_35_606052              55.276093              -35.606365
55_278893_35_690328              55.278800              -35.690300
55_299877_36_069068              55.299609              -36.069294
55_311066_35_450691              55.311188              -35.450948
55_322646_35_648422              55.322093              -35.648292
55_338897_35_948670              55.339077              -35.948656
55_344247_35_005799              55.344006              -35.005584
55_348414_35_763080              55.348314              -35.763366
55_349506_36_080363              55.349458              -36.080581
55_359847_35_379888              55.359895              -35.379584
55_361720_34_916506              55.362062              -34.916582
55_366067_35_719940              55.366334              -35.720336
55_418945_35_352528              55.419261              -35.352290
55_443408_35_515530              55.443722              -35.515360
55_458440_35_535578              55.458626              -35.535276
55_472199_34_880448              55.472189              -34.880948
55_485620_35_889118              55.485605              -35.889438
55_488897_35_292186              55.488894              -35.292364
55_546602_35_443437              55.546540              -35.443142
55_579929_35_560831              55.579554              -35.561026
55_646764_35_984759              55.646015              -35.985095
55_653675_35_955773              55.653783              -35.955917
55_660488_35_868209              55.660661              -35.868071
55_661116_35_764121              55.661102              -35.764146
55_678760_35_540669              55.678970              -35.540671
55_696985_35_390032              55.696985              -35.389707
55_751891_35_635505              55.751894              -35.635791
55_806324_35_519402              55.806295              -35.519108
