ID								RA						DEC
53_342373_35_605820              53.342419              -35.605612
53_383593_35_661883              53.383786              -35.661725
53_550726_35_228487              53.550538              -35.228691
53_564075_35_561451              53.564451              -35.561258
53_583892_35_362715              53.583890              -35.362628
53_684465_35_860901              53.683823              -35.861480
53_691916_34_892860              53.691902              -34.892657
53_735382_35_191156              53.735033              -35.190952
53_742233_35_043076              53.742468              -35.043002
53_797422_35_323034              53.797959              -35.323003
53_855177_36_178708              53.854897              -36.179021
53_927984_35_514057              53.928168              -35.514147
53_942316_35_989500              53.942720              -35.989296
54_016760_35_388917              54.016784              -35.388877
54_098391_35_911158              54.098334              -35.911538
54_116555_35_210430              54.116498              -35.210838
54_134380_36_426927              54.134107              -36.427045
54_154845_35_386234              54.155160              -35.385909
54_219549_36_486054              54.219356              -36.486511
54_221913_34_938171              54.221898              -34.938538
54_249084_35_343044              54.249000              -35.343000
54_249410_35_137717              54.249400              -35.137700
54_264099_35_800786              54.264088              -35.800585
54_283991_34_731049              54.283989              -34.731292
54_291837_35_386605              54.291531              -35.386672
54_292997_35_887994              54.292896              -35.888095
54_324640_35_699236              54.324600              -35.699200
54_364407_35_963142              54.364490              -35.963073
54_391841_35_828781              54.391709              -35.829211
54_442103_35_052803              54.442189              -35.052727
54_577701_35_531003              54.578149              -35.530927
54_654759_35_916716              54.655061              -35.917138
54_656895_35_757331              54.656800              -35.757592
54_688912_35_266575              54.688900              -35.266646
54_725805_34_825580              54.725980              -34.825656
54_774139_36_098721              54.773995              -36.099097
54_958868_35_523092              54.958620              -35.522855
54_980700_35_661877              54.980814              -35.661947
54_985072_35_622416              54.985092              -35.622365
55_001772_34_722922              55.002304              -34.723117
55_040740_35_836153              55.040341              -35.836294
55_065302_35_662351              55.065274              -35.662729
55_080841_36_314024              55.080634              -36.313924
55_098274_35_276528              55.097799              -35.276659
55_127805_35_877842              55.127717              -35.877950
55_157318_36_120558              55.157215              -36.121158
55_253364_35_742925              55.253216              -35.742658
55_303762_35_158855              55.303447              -35.158797
55_396048_35_440487              55.396002              -35.440146
55_573950_35_472061              55.574258              -35.471924
55_605243_35_594724              55.605030              -35.594732
