				ID												RA											DEC								RAh	RAm	RAs			DECd	DECm	DECs							mag									mag_err				reff								reff_err					sersic_n				sersic_n_error			elon				elon_err					PA							PA_err								flag
53_253306_35_609060              53.253453              -35.609608           03 33 00.83     -35 36 34.6                    17.70              0.00           20.52              0.03              0.89              0.00              0.58              0.00       22.02           0.13                    new                                                          
53_285762_35_396929              53.285963              -35.396949           03 33 08.63     -35 23 49.0                    19.18              0.01           26.95              0.32              0.81              0.01              0.57              0.00      -82.36           0.62                    old                                                          
53_295176_35_665598              53.295536              -35.665602           03 33 10.93     -35 39 56.2                    20.56              0.00           34.03              1.21              0.63              0.05              0.76              0.03      -54.72           6.11                    new                                                          
53_315821_35_597663              53.316580              -35.597473           03 33 15.98     -35 35 50.9                    21.00              0.02            9.71              0.23              0.69              0.03              0.81              0.01      -23.04           3.84                    old                                                          
53_380874_35_448356              53.380874              -35.448333           03 33 31.41     -35 26 54.0                    22.74              0.05            9.23              0.62              0.47              0.10              0.50              0.03      -69.91           3.77                    new                                                          
53_387382_35_704210              53.387633              -35.704436           03 33 33.03     -35 42 16.0                    20.47              0.00           13.00              0.41              0.67              0.05              0.82              0.04      -23.30           7.43                    new                                                          
53_426233_35_167286              53.426508              -35.167066           03 33 42.36     -35 10 01.4                    22.02              0.06            6.72              0.54              1.01              0.12              0.75              0.05      -50.41           8.69                    new                                                          
53_430436_35_860049              53.429284              -35.860335           03 33 43.03     -35 51 37.2                    16.38              0.00          106.51              0.37              0.60              0.00              0.47              0.00       49.68           0.15                    old                                                          
53_446177_35_068064              53.446502              -35.068547           03 33 47.16     -35 04 06.8                    21.22              0.00            7.49              0.18              0.78              0.05              0.89              0.03        8.35           0.00                    new                                                          
53_451675_35_835922              53.451743              -35.836019           03 33 48.42     -35 50 09.7                    18.15              0.00           34.53              0.21              0.71              0.01              0.85              0.00      -39.43           1.26                    old                                                          
53_458109_35_951602              53.457808              -35.951715           03 33 49.87     -35 57 06.2                    21.42              0.03           16.77              0.65              0.45              0.05              0.61              0.02      -65.61           2.97                    old                                                          
53_484709_35_163650              53.484699              -35.163646           03 33 56.33     -35 09 49.1                    22.03              0.00            5.82              0.22              1.23              0.10              0.81              0.04      -53.01           8.24                    new                                                          
53_498904_35_758920              53.498979              -35.759240           03 33 59.75     -35 45 33.3                    18.81              0.01           21.70              0.21              0.87              0.01              0.76              0.00       21.42           0.90                    old                                                          
53_524619_35_277499              53.524865              -35.277294           03 34 05.97     -35 16 38.3                    19.12              0.00           23.87              0.24              0.82              0.02              0.77              0.01       72.38           1.28                    new                                                          
53_529150_35_477016              53.529061              -35.477220           03 34 06.97     -35 28 38.0                    21.14              0.05           24.02              1.73              0.82              0.08              0.87              0.04       -7.47          15.64                    old                                                          
53_530011_35_381264              53.530179              -35.381202           03 34 07.24     -35 22 52.3                    22.51              0.00           13.75              0.00              0.13              0.07              0.48              0.00       81.19           3.47                    new                                                          
53_537977_35_516606              53.538247              -35.516529           03 34 09.18     -35 30 59.5                    17.89              0.01           70.08              0.68              0.80              0.00              0.83              0.01      -44.88           1.76                    old                                                          
53_550436_35_733282              53.550338              -35.733657           03 34 12.08     -35 44 01.2                    21.79              0.00            7.59              0.20              0.46              0.04              0.78              0.03       19.03           4.94                    new                                                          
53_560168_35_819186              53.559525              -35.819460           03 34 14.29     -35 49 10.1                    20.30              0.02           24.44              0.54              0.39              0.02              0.83              0.02        1.68           4.78                    old                                                          
53_576681_35_794560              53.576058              -35.794642           03 34 18.25     -35 47 40.7                    17.51              0.00           22.41              0.05              0.93              0.00              0.67              0.00      -83.02           0.17                    old                                                          
53_590354_35_563708              53.590659              -35.563703           03 34 21.76     -35 33 49.3                    22.10              0.00            4.47              0.17              0.50              0.08              0.93              0.05      -34.71          26.32                    new                                                          
53_597599_35_844980              53.597238              -35.844970           03 34 23.34     -35 50 41.9                    19.69              0.00           32.68              0.62              0.73              0.03              0.79              0.02      -81.82           3.63                    new                                                          
53_602807_35_967802              53.602888              -35.968020           03 34 24.69     -35 58 04.9                    20.94              0.03           11.72              0.50              1.46              0.06              0.56              0.01      -79.59           1.72                    new                                                          
53_612961_35_105400              53.613253              -35.105768           03 34 27.18     -35 06 20.8                    21.06              0.00           17.97              0.56              0.95              0.06              0.58              0.02       25.70           2.49                    new                                                          
53_618460_35_810083              53.618306              -35.810364           03 34 28.39     -35 48 37.3                    20.28              0.01            8.38              0.11              1.03              0.02              0.69              0.01       45.91           1.08                    old                                                          
53_618480_34_944905              53.618841              -34.944465           03 34 28.52     -34 56 40.1                    22.63              0.00           13.22              1.68              0.74              0.23              0.56              0.09       23.34           9.70                    new                                                          
53_635799_35_044002              53.635630              -35.043195           03 34 32.55     -35 02 35.5                    20.89              0.00           19.21              0.69              0.78              0.06              0.64              0.03      -79.92           3.54                    new                                                          
53_651649_36_053778              53.651586              -36.054242           03 34 36.38     -36 03 15.3                    21.07              0.00           22.08              0.85              0.62              0.06              0.49              0.03      -12.42           2.23                    new                                                          
53_680782_35_521078              53.680791              -35.520855           03 34 43.39     -35 31 15.1                    20.96              0.03           14.53              0.61              0.74              0.05              0.91              0.02      -80.62          14.32                    old                                                          
53_692031_35_710561              53.692022              -35.710803           03 34 46.09     -35 42 38.9                    20.93              0.00           24.82              1.01              0.43              0.06              0.65              0.04      -13.51           6.06                    new                                                          
53_718145_35_984067              53.717955              -35.984151           03 34 52.31     -35 59 02.9                    22.66              0.00            3.70              0.18              0.73              0.14              0.88              0.06      -16.13          18.86                    new                                                          
53_732904_35_461180              53.732771              -35.461505           03 34 55.87     -35 27 41.4                    22.45              0.00            8.43              0.36              0.59              0.09              0.44              0.03       31.42           2.45                    new                                                          
53_735537_35_687196              53.735651              -35.687366           03 34 56.56     -35 41 14.5                    21.53              0.00           11.92              0.45              0.73              0.07              0.70              0.03       82.80           4.87                    new                                                          
53_739347_35_223394              53.739835              -35.223450           03 34 57.56     -35 13 24.4                    19.23              0.01           21.53              0.30              1.00              0.02              0.71              0.01       41.32           1.16                    old                                                          
53_750431_35_322367              53.750845              -35.322295           03 35 00.20     -35 19 20.3                    18.75              0.00           22.99              0.18              0.81              0.01              0.77              0.00       56.14           0.96                    old                                                          
53_772552_35_450631              53.772229              -35.450817           03 35 05.33     -35 27 02.9                    20.01              0.02           32.59              0.80              0.77              0.03              0.55              0.01       83.71           1.22                    old                                                          
53_772834_35_218354              53.772831              -35.218592           03 35 05.48     -35 13 06.9                    18.42              0.00           19.63              0.13              0.77              0.01              0.73              0.01       -5.82           0.93                    new                                                          
53_799965_35_434004              53.799719              -35.434218           03 35 11.93     -35 26 03.2                    21.27              0.00           15.50              0.62              1.35              0.08              0.63              0.03       89.51           3.44                    new                                                          
53_814924_35_503634              53.814204              -35.503450           03 35 15.41     -35 30 12.4                    22.38              0.00           19.71              0.82              0.08              0.06              0.35              0.02       66.35           1.74                    new                                                          
53_849250_36_091686              53.849200              -36.091600           03 35 23.81     -36 05 29.8                    19.40              0.01           23.87              0.25              0.68              0.01              0.65              0.00      -18.34           0.80                    old                                                          
53_876170_35_252134              53.876525              -35.252294           03 35 30.37     -35 15 08.3                    18.39              0.01           42.52              0.35              0.87              0.01              0.48              0.00       48.06           0.31                    old                                                          
53_890849_34_804632              53.891461              -34.804781           03 35 33.95     -34 48 17.2                    17.60              0.00           29.40              0.08              0.70              0.00              0.68              0.00       20.44           0.22                    old                                                          
53_908651_35_093882              53.908864              -35.094240           03 35 38.13     -35 05 39.3                    21.99              0.03            7.86              0.39              0.69              0.08              0.83              0.03      -56.31           9.35                    old                                                          
