				ID												RA											DEC								RAh	RAm	RAs			DECd	DECm	DECs				mag									mag_err				reff								reff_err					sersic_n				sersic_n_error			elon				elon_err					PA							PA_err														mag_nuclei													mag_nuclei_reff
53_342373_35_605820              53.342419              -35.605612           03 33 22.18     -35 36 20.2              18.70              0.00           16.88              0.09              0.88              0.01              0.86              0.00      -78.56           1.08                                    23.6120                       2.003          
53_383593_35_661883              53.383786              -35.661725           03 33 32.11     -35 39 42.2              19.86              0.00           31.40              0.49              1.00              0.04              0.42              0.01      -75.19           0.68                                    23.6367                       2.167          
53_550726_35_228487              53.550538              -35.228691           03 34 12.13     -35 13 43.3              19.66              0.00           20.26              0.23              0.75              0.02              0.56              0.01      -53.07           0.82                                    23.0697                      2.960           
53_564075_35_561451              53.564451              -35.561258           03 34 15.47     -35 33 40.5              21.18              0.00            9.53              0.33              0.74              0.06              0.87              0.03       53.36           9.17                                    23.1881                      1.986           
53_583892_35_362715              53.583890              -35.362628           03 34 20.13     -35 21 45.5              16.78              0.00           45.02              0.10              1.05              0.00              0.91              0.00       77.72           1.07                                    20.8568                      2.231           
53_684465_35_860901              53.683823              -35.861480           03 34 44.12     -35 51 41.3              16.17              0.00           47.67              0.06              1.05              0.00              0.92              0.00       -4.50           0.66                                    21.6777                      1.653           
53_691916_34_892860              53.691902              -34.892657           03 34 46.06     -34 53 33.6              21.03              0.00           16.97              0.70              0.65              0.07              0.71              0.04      -40.19           5.27                                    23.4172                      3.154           
53_735382_35_191156              53.735033              -35.190952           03 34 56.41     -35 11 27.4              18.12              0.00           34.59              0.20              0.81              0.01              0.54              0.00      -84.67           0.28                                    22.5014                      1.851           
53_742233_35_043076              53.742468              -35.043002           03 34 58.19     -35 02 34.8              17.85              0.01           38.95              0.40              1.34              0.01              0.94              0.01      -46.45           3.93                                    21.6941                      2.099           
53_797422_35_323034              53.797959              -35.323003           03 35 11.51     -35 19 22.8              18.92              0.01           23.03              0.17              0.73              0.01              0.53              0.00       65.48           0.36                                    23.0110                      1.834           
53_855177_36_178708              53.854897              -36.179021           03 35 25.18     -36 10 44.5              17.54              0.00           39.10              0.21              1.04              0.01              0.88              0.00       14.87           1.14                                    23.2127                      1.534           
53_927984_35_514057              53.928168              -35.514147           03 35 42.76     -35 30 50.9              17.62              0.00           46.44              0.29              0.89              0.01              0.89              0.00       30.93           1.69                                    22.7040                      1.867           
53_942316_35_989500              53.942720              -35.989296           03 35 46.25     -35 59 21.5              16.15              0.00           67.03              0.06              0.83              0.00              0.54              0.00      -54.60           0.06                                    20.4915                      2.175           
54_016760_35_388917              54.016784              -35.388877           03 36 04.03     -35 23 20.0              16.63              0.00           45.71              0.09              1.05              0.00              0.84              0.00      -80.93           0.50                                    21.8411                      3.143           
54_098391_35_911158              54.098334              -35.911538           03 36 23.60     -35 54 41.5              16.81              0.00           49.11              0.09              0.76              0.00              0.51              0.00       21.97           0.08                                    23.0021                      1.538           
54_116555_35_210430              54.116498              -35.210838           03 36 27.96     -35 12 39.0              18.08              0.01           29.56              0.21              0.93              0.01              0.89              0.00       24.26           1.72                                    24.4613                      1.240           
54_134380_36_426927              54.134107              -36.427045           03 36 32.19     -36 25 37.4              19.23              0.01           33.35              0.58              0.84              0.03              0.85              0.01      -48.06           3.36                                    21.5019                      2.253           
54_154845_35_386234              54.155160              -35.385909           03 36 37.24     -35 23 09.3              17.30              0.01           80.40              1.46              1.76              0.03              0.87              0.01      -26.08           1.99                                    20.1988                      2.839           
54_219549_36_486054              54.219356              -36.486511           03 36 52.65     -36 29 11.4              16.56              0.00           48.48              0.06              0.95              0.00              0.49              0.00       39.49           0.06                                    23.6461                      2.316           
54_221913_34_938171              54.221898              -34.938538           03 36 53.26     -34 56 18.7              16.47              0.00           37.07              0.05              0.79              0.00              0.61              0.00      -57.69           0.07                                    21.0743                      1.969           
54_249084_35_343044              54.249000              -35.343000           03 36 59.76     -35 20 34.8              18.48              0.01           39.97              0.46              0.89              0.02              0.93              0.01       68.62           4.98                                    21.3055                      3.250           
54_249410_35_137717              54.249400              -35.137700           03 36 59.86     -35 08 15.7              20.20              0.03           28.96              1.11              1.13              0.06              0.64              0.02       81.76           2.18                                    24.7823                      1.971           
54_264099_35_800786              54.264088              -35.800585           03 37 03.38     -35 48 02.1              19.78              0.00           16.13              0.18              1.03              0.03              0.83              0.01       36.33           2.67                                    23.6551                      2.147           
54_283991_34_731049              54.283989              -34.731292           03 37 08.16     -34 43 52.7              18.02              0.00           18.12              0.06              0.76              0.01              0.77              0.00       16.07           0.43                                    21.9933                      2.070           
54_291837_35_386605              54.291531              -35.386672           03 37 09.97     -35 23 12.0              18.65              0.00           20.68              0.14              0.69              0.01              0.84              0.00      -74.82           1.27                                    23.8467                      1.754           
54_292997_35_887994              54.292896              -35.888095           03 37 10.30     -35 53 17.1              18.89              0.01           30.00              0.48              1.24              0.02              0.74              0.01       29.74           1.30                                    25.2755                      1.898           
54_324640_35_699236              54.324600              -35.699200           03 37 17.90     -35 41 57.1              17.52              0.00           22.66              0.14              0.73              0.01              0.81              0.01        1.19           1.15                                    22.0563                      1.792           
