 Tile    ID        X          Y            RA            DEC
1          1   10589       2331     55.020824    -34.652231
1          2   10499       1592     55.028498    -34.598234
1          3    9939        833     55.077823    -34.542607
1          4   11085       2931     54.977017    -34.696208
1          5   15610       2624     54.575035    -34.674522
1          6   17658       1147     54.393361    -34.566559
1          7   18563       2991     54.312696    -34.701092
1          8   21154       1541     54.083131    -34.594537
1          9    8168       3184     55.236284    -34.713511
1         10    9504       4175     55.118091    -34.786489
1         11   10808       3298     55.001772    -34.722922
1         12   11384       3991     54.950837    -34.773710
1         13   13916       4694     54.725805    -34.825580
1         14   14977       3990     54.631350    -34.774261
1         15   17543       3541     54.403239    -34.741404
1         16   18885       3402     54.283991    -34.731049
1         17   20123       3131     54.174061    -34.710967
1         18   20911       3618     54.103852    -34.746296
1         19   23302       4430     53.890849    -34.804632
1         20   22270       4745     53.982479    -34.828099
1         21   21551       4937     54.046364    -34.842403
1         22   18398       4992     54.326948    -34.847260
1         23   19141       5384     54.260718    -34.875750
1         24   16709       5467     54.477239    -34.882137
1         25    5534       5491     55.472199    -34.880448
1         26    6779       5974     55.361720    -34.916506
1         27    6985       7195     55.344247    -35.005799
1         28    7855       6483     55.266215    -34.954278
1         29    8945       6402     55.169040    -34.948892
1         30    9619       7147     55.109358    -35.003593
1         31    8517       7436     55.207789    -35.024212
1         32   11305       7409     54.959116    -35.023323
1         33   12900       7162     54.816794    -35.005674
1         34   14257       6900     54.695749    -34.986740
1         35   15404       6082     54.593458    -34.927071
1         36   18172       5721     54.346927    -34.900539
1         37   19574       6240     54.221913    -34.938171
1         38   22057       5423     54.001093    -34.877702
1         39   22450       6031     53.965783    -34.921944
1         40   25528       5655     53.691916    -34.892860
1         41   26346       6375     53.618480    -34.944905
1         42   19733       6381     54.207702    -34.948430
1         43   15147       7610     54.616443    -35.038666
1         44    7455       9287     55.303762    -35.158855
1         45    8387       8712     55.220155    -35.117344
1         46    9982       8879     55.077814    -35.130239
1         47   10642       8089     55.018537    -35.072778
1         48   13325       8766     54.779224    -35.122908
1         49   15185       9162     54.613138    -35.152030
1         50   16047       9346     54.536126    -35.165484
1         51   15759       8765     54.561855    -35.123046
1         52   17101       7804     54.442103    -35.052803
1         53   19257       8971     54.249410    -35.137717
1         54   24946       7707     53.742233    -35.043076
1         55   26139       7730     53.635799    -35.044002
1         56   26387       8573     53.612961    -35.105400
1         57   25006       9735     53.735382    -35.191156
1         58   24958      10176     53.739347    -35.223394
1         59   24584      10104     53.772834    -35.218354
1         60   27067      10265     53.550726    -35.228487
1         61   21514       7904     54.048306    -35.059115
1         62   23076       8389     53.908651    -35.093882
1         63   20740       9972     54.116555    -35.210430
1         64   13762       9612     54.740342    -35.184769
1         65    5400      11130     55.488897    -35.292186
1         66    6189      11949     55.418945    -35.352528
1         67    9156      11967     55.153262    -35.355448
1         68    9764      10883     55.098274    -35.276528
1         69   10286      11057     55.051650    -35.289438
1         70   11264      11505     54.964300    -35.322490
1         71   13889      10328     54.729106    -35.237086
1         72   14339      10731     54.688912    -35.266575
1         73   17330      11136     54.421274    -35.296164
1         74   21955      11356     54.007253    -35.311082
1         75   22238      11132     53.982039    -35.294604
1         76   23425      10558     53.876170    -35.252134
1         77   22841      11732     53.927737    -35.338164
1         78   22133      11864     53.991062    -35.348115
1         79   22623      12055     53.947079    -35.361855
1         80   22223       2074     53.988021    -34.633059
1         81   23315       3452     53.890277    -34.733204
1         82   20624       4342     54.129086    -34.799262
1         83   28261       8081     53.446177    -35.068064
1         84   27815       9385     53.484709    -35.163650
1         85   28469       9442     53.426233    -35.167286
1         86   25479       9468     53.693320    -35.171364
1         87   24298      11535     53.797422    -35.323034
1         88   24823      11530     53.750431    -35.322367
1         89   27352      10939     53.524619    -35.277499
1         90   26678      12099     53.583892    -35.362715
1         91   30001      12605     53.285762    -35.396929
1         92   27273      13670     53.529150    -35.477016
1         93   28931      13296     53.380874    -35.448356
1         94   27277      12359     53.530011    -35.381264
1         95   27169      14211     53.537977    -35.516606
1         96   25577      14257     53.680782    -35.521078
1         97   24562      13284     53.772552    -35.450631
1         98   24084      14006     53.814924    -35.503634
1         99   22823      14140     53.927984    -35.514057
1        100   25003      13432     53.732904    -35.461180
1        101   24258      13054     53.799965    -35.434004
1        102   21843      12421     54.016760    -35.388917
1        103   20302      12377     54.154845    -35.386234
1        104   20026      13054     54.179343    -35.435764
1        105   19252      11782     54.249084    -35.343044
1        106   18956      11762     54.275595    -35.341646
1        107   18513      11983     54.315217    -35.357873
1        108   18773      12377     54.291837    -35.386605
1        109   19409      11152     54.235206    -35.296990
1        110   17449      12360     54.410467    -35.385560
1        111   16882      12045     54.461294    -35.362599
1        112   11716      13504     54.924511    -35.468637
1        113   10730      13469     55.012927    -35.465776
1        114    9629      12848     55.111349    -35.420001
1        115    8771      13982     55.188906    -35.502452
1        116    8562      12419     55.206726    -35.388188
1        117    7127      12119     55.335072    -35.365515
1        118    6852      12318     55.359847    -35.379888
1        119    7404      13283     55.311066    -35.450691
1        120    6455      13151     55.396048    -35.440487
1        121    7755      14159     55.280176    -35.514867
1        122    5936      14183     55.443408    -35.515530
1        123    5771      14459     55.458440    -35.535578
1        124    4776      13207     55.546602    -35.443437
1        125    4475      13602     55.573950    -35.472061
1        126    3775      14438     55.637543    -35.532572
1        127    3317      14554     55.678760    -35.540669
1        128    3090      12494     55.696985    -35.390032
1        129    1892      14280     55.806324    -35.519402
1        130    2863      14765     55.719727    -35.555693
1        131    4421      14818     55.579929    -35.560831
1        132    4144      15285     55.605243    -35.594724
1        133    8858      14497     55.181396    -35.540110
1        134   10732      13785     55.012880    -35.488859
1        135   10794      13824     55.007334    -35.491729
1        136   11336      14251     54.958868    -35.523092
1        137   11733      14370     54.923278    -35.531898
1        138   12325      14923     54.870302    -35.572444
1        139   12623      15161     54.843603    -35.589896
1        140   14490      14642     54.675841    -35.552272
1        141   15583      14350     54.577701    -35.531003
1        142   16137      15191     54.527956    -35.592435
1        143   16918      14614     54.457849    -35.550253
1        144   18315      14225     54.332503    -35.521675
1        145   20137      15147     54.168662    -35.588616
1        146   20222      15460     54.160916    -35.611454
1        147   20919      14251     54.098793    -35.522925
1        148   20782      15848     54.110446    -35.639622
1        149   25144      14922     53.719131    -35.569922
1        150   26872      14822     53.564075    -35.561451
1        151   26579      14850     53.590354    -35.563708
1        152   28238      15124     53.441146    -35.582444
1        153   29334      15457     53.342373    -35.605820
1        154   29631      15349     53.315821    -35.597663
1        155   30325      15514     53.253306    -35.609060
1        156   29849      16282     53.295176    -35.665598
1        157   28866      16219     53.383593    -35.661883
1        158   28817      16798     53.387382    -35.704210
1        159     900      16411     55.897924    -35.674068
1        160    2518      15862     55.751891    -35.635505
1        161    7810      15407     55.276063    -35.606052
1        162    7296      15991     55.322646    -35.648422
1        163    7917      15973     55.266820    -35.647450
1        164    8919      16148     55.176859    -35.660731
1        165   10160      16163     55.065302    -35.662351
1        166   11101      16152     54.980700    -35.661877
1        167   11050      15612     54.985072    -35.622416
1        168   14113      17022     54.710032    -35.726083
1        169   16735      14949     54.474255    -35.574735
1        170   21538      16282     54.042297    -35.671056
1        171   21573      16004     54.039280    -35.650737
1        172   28082      18593     53.451675    -35.835922
1        173   27569      17533     53.498904    -35.758920
1        174   26880      18351     53.560168    -35.819186
1        175   26700      18012     53.576681    -35.794560
1        176   26461      18700     53.597599    -35.844980
1        177   26556      18438     53.589271    -35.825777
1        178   25495      18909     53.684465    -35.860901
1        179   24948      16526     53.735537    -35.687196
1        180   26234      18220     53.618460    -35.810083
1        181   25429      16850     53.692031    -35.710561
1        182   21434      17305     54.051180    -35.745818
1        183   20837      16716     54.105148    -35.703007
1        184   19485      17308     54.226584    -35.746638
1        185   19066      18048     54.264099    -35.800786
1        186   18489      17806     54.316117    -35.783222
1        187   18397      16656     54.324640    -35.699236
1        188   17167      16712     54.435270    -35.703485
1        189   14704      17449     54.656895    -35.757331
1        190   13715      17224     54.745879    -35.740786
1        191   12756      17007     54.832127    -35.724766
1        192    8076      17279     55.253364    -35.742925
1        193    7787      16561     55.278893    -35.690328
1        194    7022      17563     55.348414    -35.763080
1        195    6821      16974     55.366067    -35.719940
1        196    3548      17611     55.661116    -35.764121
1        197    7289      17892     55.324614    -35.787266
1        198    8977      17644     55.172491    -35.770028
1        199    9266      18686     55.147041    -35.846268
1        200   10445      18541     55.040740    -35.836153
1        201   12872      17746     54.821872    -35.778770
1        202   14754      18497     54.652490    -35.833886
1        203   15384      17478     54.595687    -35.759487
1        204   17647      18428     54.391841    -35.828781
1        205   19356      18534     54.237842    -35.836221
1        206   20885      19117     54.099840    -35.878367
1        207   21689      18632     54.027596    -35.842648
1        208   22488      16791     53.956606    -35.707844
1        209   22779      18699     53.929346    -35.847075
1        210   27000      17176     53.550436    -35.733282
1        211   28314      18926     53.430436    -35.860049
1        212   27993      20176     53.458109    -35.951602
1        213   26387      20381     53.602807    -35.967802
1        214   25107      20592     53.718145    -35.984067
1        215   22623      20648     53.942316    -35.989500
1        216   21979      19911     54.000821    -35.935951
1        217   21595      20608     54.035132    -35.987013
1        218   20899      19566     54.098391    -35.911158
1        219   19862      19737     54.191855    -35.923963
1        220   19491      19789     54.225304    -35.927857
1        221   19447      20012     54.229207    -35.944156
1        222   18742      19241     54.292997    -35.887994
1        223   17948      20268     54.364407    -35.963142
1        224   17280      20158     54.424704    -35.955186
1        225   16545      19159     54.491084    -35.882267
1        226   14730      19631     54.654759    -35.916716
1        227    9482      19117     55.127805    -35.877842
1        228    9344      19259     55.140321    -35.888154
1        229    8894      18886     55.180676    -35.860706
1        230    7071      19388     55.345325    -35.896403
1        231    7148      20103     55.338897    -35.948670
1        232    5514      19302     55.485620    -35.889118
1        233    3571      19036     55.660488    -35.868209
1        234    3660      20234     55.653675    -35.955773
1        235    3741      20630     55.646764    -35.984759
1        236   11315      20946     54.963258    -36.012110
1        237   13941      20586     54.726073    -35.986390
1        238   16054      20888     54.535323    -36.008573
1        239   25835      21553     53.651649    -36.053778
1        240   23644      22054     53.849250    -36.091686
1        241   22414      21350     53.960802    -36.040867
1        242   16156      21461     54.526099    -36.050424
1        243   16098      21754     54.531334    -36.071826
1        244   15557      21668     54.580221    -36.065543
1        245   15297      21754     54.603719    -36.071817
1        246   13412      22125     54.774139    -36.098721
1        247   12189      22141     54.884701    -36.099635
1        248   10898      22064     55.001372    -36.093632
1        249   10076      21589     55.075443    -36.058640
1        250    9175      22442     55.157318    -36.120558
1        251    7593      21748     55.299877    -36.069068
1        252    7045      21907     55.349506    -36.080363
1        253    8898      23329     55.182876    -36.185210
1        254   11259      22720     54.968992    -36.141662
1        255   11464      23328     54.950673    -36.186131
1        256   12939      23276     54.817177    -36.182701
1        257   17311      23146     54.421549    -36.173427
1        258   19954      21621     54.182920    -36.061547
1        259   19563      22756     54.217901    -36.144548
1        260   23570      23245     53.855177    -36.178708
1        261   23544      23341     53.857468    -36.185733
1        262   21914      24317     54.004476    -36.257775
1        263   20474      22619     54.135555    -36.134285
1        264   19698      23928     54.205317    -36.230112
1        265   18606      24303     54.304109    -36.257745
1        266   15735      24616     54.564169    -36.280861
1        267   15264      22081     54.606718    -36.095700
1        268   14050      24897     54.716883    -36.301271
1        269   10641      23985     55.025435    -36.233845
1        270   10258      24465     55.060339    -36.268759
