	ID							RA						DEC					RAh RAm RAs		DECd DECm DECs
53_253306_35_609060              53.253453              -35.609608           03 33 00.83     -35 36 34.6                                                
53_285762_35_396929              53.285963              -35.396949           03 33 08.63     -35 23 49.0                                                
53_295176_35_665598              53.295536              -35.665602           03 33 10.93     -35 39 56.2                                                
53_315821_35_597663              53.316580              -35.597473           03 33 15.98     -35 35 50.9                                                
53_380874_35_448356              53.380874              -35.448333           03 33 31.41     -35 26 54.0                                                
53_387382_35_704210              53.387633              -35.704436           03 33 33.03     -35 42 16.0                                                
53_426233_35_167286              53.426508              -35.167066           03 33 42.36     -35 10 01.4                                                
53_430436_35_860049              53.429284              -35.860335           03 33 43.03     -35 51 37.2                                                
53_446177_35_068064              53.446502              -35.068547           03 33 47.16     -35 04 06.8                                                
53_451675_35_835922              53.451743              -35.836019           03 33 48.42     -35 50 09.7                                                
53_458109_35_951602              53.457808              -35.951715           03 33 49.87     -35 57 06.2                                                
53_484709_35_163650              53.484699              -35.163646           03 33 56.33     -35 09 49.1                                                
53_498904_35_758920              53.498979              -35.759240           03 33 59.75     -35 45 33.3                                                
53_524619_35_277499              53.524865              -35.277294           03 34 05.97     -35 16 38.3                                                
53_529150_35_477016              53.529061              -35.477220           03 34 06.97     -35 28 38.0                                                
53_530011_35_381264              53.530179              -35.381202           03 34 07.24     -35 22 52.3                                                
53_537977_35_516606              53.538247              -35.516529           03 34 09.18     -35 30 59.5                                                
53_550436_35_733282              53.550338              -35.733657           03 34 12.08     -35 44 01.2                                                
53_560168_35_819186              53.559525              -35.819460           03 34 14.29     -35 49 10.1                                                
53_576681_35_794560              53.576058              -35.794642           03 34 18.25     -35 47 40.7                                                
53_590354_35_563708              53.590659              -35.563703           03 34 21.76     -35 33 49.3                                                
53_597599_35_844980              53.597238              -35.844970           03 34 23.34     -35 50 41.9                                                
53_602807_35_967802              53.602888              -35.968020           03 34 24.69     -35 58 04.9                                                
53_612961_35_105400              53.613253              -35.105768           03 34 27.18     -35 06 20.8                                                
53_618460_35_810083              53.618306              -35.810364           03 34 28.39     -35 48 37.3                                                
53_618480_34_944905              53.618841              -34.944465           03 34 28.52     -34 56 40.1                                                
53_635799_35_044002              53.635630              -35.043195           03 34 32.55     -35 02 35.5                                                
53_651649_36_053778              53.651586              -36.054242           03 34 36.38     -36 03 15.3                                                
53_680782_35_521078              53.680791              -35.520855           03 34 43.39     -35 31 15.1                                                
53_692031_35_710561              53.692022              -35.710803           03 34 46.09     -35 42 38.9                                                
53_718145_35_984067              53.717955              -35.984151           03 34 52.31     -35 59 02.9                                                
53_732904_35_461180              53.732771              -35.461505           03 34 55.87     -35 27 41.4                                                
53_735537_35_687196              53.735651              -35.687366           03 34 56.56     -35 41 14.5                                                
53_739347_35_223394              53.739835              -35.223450           03 34 57.56     -35 13 24.4                                                
53_750431_35_322367              53.750845              -35.322295           03 35 00.20     -35 19 20.3                                                
53_772552_35_450631              53.772229              -35.450817           03 35 05.33     -35 27 02.9                                                
53_772834_35_218354              53.772831              -35.218592           03 35 05.48     -35 13 06.9                                                
53_799965_35_434004              53.799719              -35.434218           03 35 11.93     -35 26 03.2                                                
53_814924_35_503634              53.814204              -35.503450           03 35 15.41     -35 30 12.4                                                
53_849250_36_091686              53.849200              -36.091600           03 35 23.81     -36 05 29.8                                                
53_857468_36_185733              53.857306              -36.185438           03 35 25.75     -36 11 07.6                                                
53_876170_35_252134              53.876525              -35.252294           03 35 30.37     -35 15 08.3                                                
53_890849_34_804632              53.891461              -34.804781           03 35 33.95     -34 48 17.2                                                
53_908651_35_093882              53.908864              -35.094240           03 35 38.13     -35 05 39.3                                                
53_927737_35_338164              53.928093              -35.338458           03 35 42.74     -35 20 18.4                                                
53_929346_35_847075              53.929432              -35.847585           03 35 43.06     -35 50 51.3                                                
53_947079_35_361855              53.947250              -35.361778           03 35 47.34     -35 21 42.4                                                
53_956606_35_707844              53.956502              -35.708022           03 35 49.56     -35 42 28.9                                                
53_965783_34_921944              53.966222              -34.921440           03 35 51.89     -34 55 17.2                                                
53_982039_35_294604              53.982985              -35.294459           03 35 55.92     -35 17 40.1                                                
