	ID							RA						DEC					RAh RAm RAs		DECd DECm DECs
53_342373_35_605820              53.342419              -35.605612           03 33 22.18     -35 36 20.2           
53_383593_35_661883              53.383786              -35.661725           03 33 32.11     -35 39 42.2           
53_550726_35_228487              53.550538              -35.228691           03 34 12.13     -35 13 43.3           
53_564075_35_561451              53.564451              -35.561258           03 34 15.47     -35 33 40.5           
53_583892_35_362715              53.583890              -35.362628           03 34 20.13     -35 21 45.5           
53_684465_35_860901              53.683823              -35.861480           03 34 44.12     -35 51 41.3           
53_691916_34_892860              53.691902              -34.892657           03 34 46.06     -34 53 33.6           
53_719131_35_569922              53.719671              -35.569758           03 34 52.72     -35 34 11.1           
53_735382_35_191156              53.735033              -35.190952           03 34 56.41     -35 11 27.4           
53_742233_35_043076              53.742468              -35.043002           03 34 58.19     -35 02 34.8           
53_797422_35_323034              53.797959              -35.323003           03 35 11.51     -35 19 22.8           
53_855177_36_178708              53.854897              -36.179021           03 35 25.18     -36 10 44.5           
53_927984_35_514057              53.928168              -35.514147           03 35 42.76     -35 30 50.9           
53_942316_35_989500              53.942720              -35.989296           03 35 46.25     -35 59 21.5           
54_016760_35_388917              54.016784              -35.388877           03 36 04.03     -35 23 20.0           
54_098391_35_911158              54.098334              -35.911538           03 36 23.60     -35 54 41.5           
54_116555_35_210430              54.116498              -35.210838           03 36 27.96     -35 12 39.0           
54_134380_36_426927              54.134107              -36.427045           03 36 32.19     -36 25 37.4           
54_154845_35_386234              54.155160              -35.385909           03 36 37.24     -35 23 09.3           
54_219549_36_486054              54.219356              -36.486511           03 36 52.65     -36 29 11.4           
54_221913_34_938171              54.221898              -34.938538           03 36 53.26     -34 56 18.7           
54_249084_35_343044              54.249000              -35.343000           03 36 59.76     -35 20 34.8           
54_249410_35_137717              54.249400              -35.137700           03 36 59.86     -35 08 15.7           
54_264099_35_800786              54.264088              -35.800585           03 37 03.38     -35 48 02.1           
54_283991_34_731049              54.283989              -34.731292           03 37 08.16     -34 43 52.7           
54_291837_35_386605              54.291531              -35.386672           03 37 09.97     -35 23 12.0           
54_292997_35_887994              54.292896              -35.888095           03 37 10.30     -35 53 17.1           
54_324640_35_699236              54.324600              -35.699200           03 37 17.90     -35 41 57.1           
54_364407_35_963142              54.364490              -35.963073           03 37 27.48     -35 57 47.1           
54_391841_35_828781              54.391709              -35.829211           03 37 34.01     -35 49 45.2           
54_442103_35_052803              54.442189              -35.052727           03 37 46.13     -35 03 09.8           
54_577701_35_531003              54.578149              -35.530927           03 38 18.76     -35 31 51.3           
54_654759_35_916716              54.655061              -35.917138           03 38 37.21     -35 55 01.7           
54_656895_35_757331              54.656800              -35.757592           03 38 37.63     -35 45 27.3           
54_688912_35_266575              54.688900              -35.266646           03 38 45.34     -35 15 59.9           
54_725805_34_825580              54.725980              -34.825656           03 38 54.24     -34 49 32.4           
54_774139_36_098721              54.773995              -36.099097           03 39 05.76     -36 05 56.7           
54_832127_35_724766              54.831847              -35.724648           03 39 19.64     -35 43 28.7           
54_958868_35_523092              54.958620              -35.522855           03 39 50.07     -35 31 22.3           
54_980700_35_661877              54.980814              -35.661947           03 39 55.40     -35 39 43.0           
54_985072_35_622416              54.985092              -35.622365           03 39 56.42     -35 37 20.5           
55_001772_34_722922              55.002304              -34.723117           03 40 00.55     -34 43 23.2           
55_040740_35_836153              55.040341              -35.836294           03 40 09.68     -35 50 10.7           
55_065302_35_662351              55.065274              -35.662729           03 40 15.67     -35 39 45.8           
55_080841_36_314024              55.080634              -36.313924           03 40 19.35     -36 18 50.1           
55_098274_35_276528              55.097799              -35.276659           03 40 23.47     -35 16 36.0           
55_127805_35_877842              55.127717              -35.877950           03 40 30.65     -35 52 40.6           
55_157318_36_120558              55.157215              -36.121158           03 40 37.73     -36 07 16.2           
55_182876_36_185210              55.182713              -36.185439           03 40 43.85     -36 11 07.6           
55_253364_35_742925              55.253216              -35.742658           03 41 00.77     -35 44 33.6           
55_280176_35_514867              55.279993              -35.514436           03 41 07.20     -35 30 52.0           
55_303762_35_158855              55.303447              -35.158797           03 41 12.83     -35 09 31.7           
55_396048_35_440487              55.396002              -35.440146           03 41 35.04     -35 26 24.5           
55_573950_35_472061              55.574258              -35.471924           03 42 17.82     -35 28 18.9           
55_605243_35_594724              55.605030              -35.594732           03 42 25.21     -35 35 41.0           
