| ID |            RA |            DEC |    RA_hms |   DEC_dms |
|  1 | 55.7583333333 | -35.3294444444 |   3:43:02 | -35:19:46 |
|  2 |          55.0 | -34.7230555556 |   3:40:00 | -34:43:23 |
|  3 | 54.7258333333 | -34.8255555556 | 3:38:54.2 | -34:49:32 |
|  4 | 55.1095833333 | -35.0033333333 | 3:40:26.3 | -35:00:12 |
|  5 |        55.185 | -35.0219444444 | 3:40:44.4 | -35:01:19 |
|  6 | 55.3866666667 | -35.1936111111 | 3:41:32.8 | -35:11:37 |
|  7 | 55.0516666667 | -35.2888888889 | 3:40:12.4 | -35:17:20 |
|  8 | 55.7554166667 | -35.2511111111 | 3:43:01.3 | -35:15:04 |
|  9 | 55.8570833333 | -35.2294444444 | 3:43:25.7 | -35:13:46 |
| 10 | 55.6970833333 | -35.3894444444 | 3:42:47.3 | -35:23:22 |
| 11 | 55.0108333333 | -35.4655555556 | 3:40:02.6 | -35:27:56 |
| 12 | 55.1120833333 | -35.4197222222 | 3:40:26.9 | -35:25:11 |
| 13 | 55.2333333333 | -35.7038888889 | 3:40:56.0 | -35:42:14 |
