# This is the online version of Table 2 of G2C2 I (Vanderbeke et al. 2013): magnitudes based on CTIO data. 
# Default values are -100 in the table below. 
# Columns are ID, g, sigma_g, r, sigma_r, i, sigma_i, z, sigma_z, CMD_g, CMD_r, CMD_i, CMD_z,
# with CMD_{g,r,i,z} the applied magnitude corrections to clean foreground stars based on the CMDs. 

 NGC104     ,      4.912     ,      0.030     , -100     , -100     , -100     , -100     ,      3.677     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
 NGC288     ,      9.080     ,      0.032     ,      8.600     ,      0.045     ,      8.295     ,      0.044     ,      8.139     ,      0.044     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
 NGC362     ,      7.471     ,      0.030     ,      6.925     ,      0.043     ,      6.618     ,      0.043     ,      6.419     ,      0.043     ,      0.01     ,      0.02     ,      0.02     ,      0.03  
NGC1261     ,      9.474     ,      0.031     ,      8.995     ,      0.045     ,      8.744     ,      0.045     ,      8.582     ,      0.045     ,      0.03     ,      0.05     ,      0.06     ,      0.06  
    AM1     ,     15.958     ,      0.035     ,     15.582     ,      0.046     ,     15.219     ,      0.047     ,     15.159     ,      0.056     ,      0.07     ,      0.13     ,      0.14     ,      0.16  
NGC1851     ,      8.280     ,      0.031     ,      7.703     ,      0.044     ,      7.413     ,      0.044     ,      7.194     ,      0.044     ,      0.03     ,      0.04     ,      0.05     ,      0.05  
NGC1904     ,      9.006     ,      0.030     ,      8.570     ,      0.044     ,      8.351     ,      0.044     ,      8.178     ,      0.044     ,      0.02     ,      0.04     ,      0.05     ,      0.05  
NGC2298     ,      9.650     ,      0.039     ,      9.287     ,      0.050     ,      9.036     ,      0.052     ,      8.865     ,      0.054     ,      0.06     ,      0.10     ,      0.10     ,      0.10  
NGC2808     ,      6.695     ,      0.030     ,      6.194     ,      0.044     ,      5.916     ,      0.044     ,      5.725     ,      0.044     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
     E3     ,     10.787     ,      0.041     , -100     , -100     , -100     , -100     ,     10.368     ,      0.072     ,      0.00     , -100     , -100     ,      0.00  
   Pal3     ,     15.238     ,      0.044     , -100     , -100     , -100     , -100     ,     15.412     ,      0.232     ,      0.00     , -100     , -100     ,      0.00  
NGC3201     ,      7.006     ,      0.033     , -100     , -100     , -100     , -100     , -100     , -100     ,      0.01     , -100     , -100     ,      0.00  
NGC4372     ,      6.489     ,      0.031     , -100     , -100     , -100     , -100     ,      5.796     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
 Rup106     ,     11.981     ,      0.031     , -100     , -100     , -100     , -100     ,     11.204     ,      0.168     ,      0.59     , -100     , -100     ,      0.69  
NGC4590     ,      8.903     ,      0.037     , -100     , -100     , -100     , -100     ,      8.127     ,      0.054     ,      0.00     , -100     , -100     ,      0.00  
NGC4833     ,      7.034     ,      0.034     , -100     , -100     , -100     , -100     , -100     , -100     ,      0.03     , -100     , -100     ,      0.02  
NGC5139     ,      4.131     ,      0.030     , -100     , -100     , -100     , -100     ,      3.198     ,      0.044     ,      0.01     , -100     , -100     ,      0.01  
NGC5286     ,      7.551     ,      0.030     , -100     , -100     , -100     , -100     ,      6.664     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
NGC5634     ,     10.060     ,      0.030     , -100     , -100     , -100     , -100     ,      9.205     ,      0.046     ,      0.00     , -100     , -100     ,      0.00  
NGC5694     ,     10.781     ,      0.030     , -100     , -100     , -100     , -100     ,      9.899     ,      0.044     ,      0.00     , -100     , -100     ,      0.00  
 IC4499     ,     10.256     ,      0.032     ,      9.820     ,      0.044     ,      9.520     ,      0.044     ,      9.372     ,      0.044     ,      0.18     ,      0.24     ,      0.23     ,      0.22  
NGC5824     ,      9.321     ,      0.030     ,      8.876     ,      0.043     ,      8.648     ,      0.043     ,      8.477     ,      0.043     ,      0.00     ,      0.00     ,      0.00     ,      0.00  
NGC5897     ,      9.171     ,      0.031     ,      8.835     ,      0.044     ,      8.542     ,      0.044     ,      8.414     ,      0.044     ,      0.03     ,      0.04     ,      0.04     ,      0.04  
NGC5904     ,      6.861     ,      0.030     , -100     , -100     , -100     , -100     ,      5.867     ,      0.045     ,      0.00     , -100     , -100     ,      0.00  
