 V[mag]  Reff[pc]   
 -13.5 2587 
  -1.5   29 
  -4.2  149 
  -2.7   51 
  -2.5   35 
  -2.7   25 
  -4.1   77 
  -6.3  242 
  -8.8  221 
  -8.8  181 
 -11.1  283 
  -9.3  695 
  -5.5  319 
  -9.1  250 
  -6.6  330 
 -13.4  710 
  -5.8  206 
  -4.9   74 
  -5.2  135 
  -5.0   58 
  -8.6  564 
  -9.8  176 
 -12.0  251 
 -16.4  110 
  -8.1  557 
 -16.5  590 
  -8.7  286 
 -11.7  672 
  -7.9  434 
 -10.0  479 
  -9.7  709 
  -7.1  222 
  -6.9  157 
  -9.1  315 
  -7.6  265 
 -10.2 1029 
  -6.3  124 
  -6.4  304 
 -14.6  623 
  -9.9  875 
  -8.4  363 
  -9.4  222 
  -6.7  207 
 -12.4 1176 

















































#END#  -ref=VIZ55e722470a23 ===========================================================================================================================================================================================================================================================================================================================================================================================
