  RA                   DEC                   FCC   Mem   MType                     BTmag  
  47.86277478099623    -33.41725994535353    1     2     dE,N                      18.5   
  48.92651183031877    -33.54111543414238    2     1     d:SBc(LSB)                15.1   
  49.22336340725783    -35.54222032919809    3     1     SBcdII-III                14.1   
  49.422108138810486   -37.14796619768848    4     1     dE2                       17.0   
  49.465876274202074   -36.7664570631572     5     1     "dE5 / ImV"               17.3   
  49.47218728954189    -35.65146977220337    6     1     dE5                       16.0   
  49.693111783893286   -35.54561748988335    7     1     dE1                       18.9   
  49.72596996110021    -33.325718872085396   8     2     dE?                       18.5   
  49.8542545855937     -32.652854496998245   9     1     Sd?                       15.3   
  49.89265239997859    -32.46632851262773    10    1     "Sd(on edge)"             14.5   
  50.10594183733171    -34.570472555504715   11    2     dE4,N                     17.0   
  50.191842517266664   -33.294113985005595   12    2     "BCD or S"                17.0   
  50.25351842238239    -37.137435588683225   13    1     SBcII                     12.0   
  50.300142936590774   -36.26621197632133    14    1     dE3                       17.6   
  50.415529680148666   -33.453283012595364   15    1     dE7                       16.6   
  50.430967897065436   -35.92503047410647    16    1     dE2                       17.8   
  50.56795659620817    -33.71718880503264    17    2     dE3,N                     18.0   
  50.56852166682677    -35.12553738194568    18    1     SmIII                     15.5   
  50.594930751559005   -37.39593641804558    19    2     "dS0  (8),N"              15.2   
  50.62329310286256    -37.169095956857376   20    2     filament                  18.5   
  50.67543579344206    -37.2087363175224     21    1     "S0  (pec)"               9.4    
  50.68520417579761    -37.10321633593841    22    1     "Sa pec"                  11.9   
  50.85276072651126    -36.886343483686204   23    2     "ImV or dE5,N"            18.6   
  50.88157130921347    -34.60809621571177    24    1     BCD                       16.1   
  50.88961554295921    -36.9812052961118     25    1     dE0,N                     17.7   
  50.9049188933671     -35.777361981041686   26    1     "SB0  (8)"                15.0   
  50.9823274888214     -34.807366249863904   27    2     dE2                       19.3   
  50.975860313645136   -37.50792428740293    28    1     SmIII                     13.6   
  50.984099588544844   -36.46461136671726    29    1     SBa(r)                    11.8   
  51.007065527573324   -37.22442783817363    30    2     "dE or dS0"               18.9   
  51.07373790343277    -35.26160406668088    31    2     dE4                       16.8   
  51.21827596060113    -35.43409592956308    32    1     "dE pec / BCD"            15.4   
  51.243221644934955   -37.00809492530903    33    1     "SdIII pec / BCD?"        14.2   
  51.25938612137478    -35.22341596037693    34    2     dE                        18.4   
  51.26698637452828    -36.926239520315086   35    1     "SmIV / BCD?"             15.3   
  51.3004633919907     -32.901327166574475   36    2     "dE4 pec,N"               15.9   
  51.28733624568354    -36.36381078214193    37    1     SBcIII(interacting)       13.8   
  51.28914633355367    -36.55187509070669    38    1     "dE0 pec"                 17.5   
  51.332120747904746   -36.38342492531941    39    1     SdIII(interacting)        15.5   
  51.353289447561274   -36.74323096653583    40    1     dE4                       17.6   
  51.399123455742036   -32.959201210944116   41    1     "ImV or dE3"              17.6   
  51.442364259598406   -35.508278303717475   42    1     dE0                       18.3   
  51.5096764022417     -32.893508647921486   43    1     "dS0 /2 (5),N"            13.5   
  51.531014391498076   -35.12749976814095    44    2     dS0                       17.5   
  51.56044944123351    -34.55260592966338    45    2     ImV                       19.5   
  51.60418663803505    -37.12613126722037    46    2     dE4                       15.6   
  51.63327409100075    -35.712338493680505   47    1     E4                        13.3   
  51.67731895737695    -34.54721672460502    48    1     dE3                       17.1   
  51.68131237922817    -37.29753746584019    49    1     dE4                       19.2   
  51.72503443587075    -35.51713005859351    50    1     dE0,N                     16.6   
  51.72129921992737    -36.79740664738052    51    1     dE4                       18.5   
  51.783350323933355   -34.39845222654221    52    1     dE1                       18.5   
  51.81751814154528    -33.48440698798447    53    1     ScdIII                    14.7   
  51.82121822321648    -33.03441685607063    54    2     dE1,N                     18.0   
  51.824638835883384   -34.52472189081923    55    1     S0(9),N                   13.9   
  51.83947050040873    -36.14507236651028    56    1     dE1,N                     17.5   
  51.86571593148164    -35.922114627290014   57    1     "dE6(boxy) pec"           17.8   
  51.89416011069732    -37.50307291967167    58    1     dE2                       18.0   
  51.948072297912006   -33.563516819726765   59    1     dE0,N                     19.4   
  51.975172222535      -37.37421420586351    60    1     "ImV or dE2"              18.4   
  51.99992185088807    -33.66260467303591    61    1     dE3,N                     18.0   
  51.99233458757669    -37.14788849018758    62    1     SbcII                     12.6   
  52.02736352024921    -32.284918808887085   63    1     E4                        12.7   
  51.99918705356369    -38.539318598242595   64    1     dE5                       17.5   
  52.027258250438706   -35.23522451769011    65    1     "dE6,N or dS0"            17.5   
  52.116797837482956   -33.73305223091834    66    1     dE3                       16.9   
  52.20262702806475    -35.17895064435124    67    1     "Sc(on edge)"             13.0   
  52.215979650651285   -33.84454420942463    68    1     dE5,N                     16.5   
  52.23687756204794    -36.436039222813314   69    1     "ImV or dE0"              18.7   
  52.257117776169096   -37.359182152084855   70    2     dE2,N?                    18.5   
  52.35901287701716    -35.602332563438864   71    2     dE2                       20.5   
  52.38865710987145    -35.86633801487544    72    1     "dE0 / ImV"               19.3   
  52.393280640922576   -36.70164226827911    73    2     dE3                       19.4   
  52.42417836691952    -31.96226969222326    74    2     dE                        17.7   
  52.40759426703946    -35.398350423944095   75    2     dE3                       19.8   
  52.43007345809496    -33.55591853733457    76    1     "ImII / dS0(6)"           14.7   
  52.424412614874356   -36.22009018168936    77    1     dE0,N                     18.2   
  52.43890127396763    -35.37708163620215    78    1     "ImV or dE"               19.2   
  52.437026106125316   -36.05513694987154    79    2     dE?                       18.7   
  52.5328880550161     -32.47380357807898    80    1     "dE or dS0"               15.6   
  52.54159711441719    -33.69190431614579    81    2     dE1,N                     17.1   
  52.62658047283648    -34.25862604979675    82    1     dE1,N                     16.4   
  52.64606747855986    -34.85398488391666    83    1     E5                        12.3   
  52.65206825262378    -35.04012100927834    84    2     dE0,N?                    19.5   
  52.691954972630725   -35.54805778413237    85    1     dE0,N                     16.3   
  52.69391996842373    -35.35306335971595    86    1     dE5,N?                    17.5   
  52.734475454692316   -33.5557018488505     87    1     dE3                       18.6   
  52.783141427868344   -33.628390409504306   88    1     SBb(r)I                   11.8   
  52.80066881099613    -33.24234322090992    89    1     dE,N                      18.0   
  52.78364051568255    -36.288697159033624   90    1     "E4 pec"                  15.0   
  52.82919528684676    -32.05216426272874    91    1     ImV                       17.0   
  52.81968812071453    -34.95910040402384    92    2     "ImV or dE"               19.0   
  52.83589939301691    -35.81806078268947    93    2     dE2                       19.4   
  52.84457215782458    -34.97030778590627    94    1     dE0                       19.3   
  52.85289052824408    -35.32951028101673    95    1     "dSB0 or dSBa"            14.6   
  52.84340646252125    -37.610886784064235   96    2     "dE0 / ImV"               19.2   
  52.86150145169588    -35.49315636689714    97    1     dE1                       19.0   
  52.91260942853015    -36.27502886852126    98    1     "ImV or dE1"              18.2   
  52.936762444557836   -34.3367690035579     99    1     dE4                       17.1   
  52.94806396675314    -35.05015330150882    100   1     dE4,N                     15.5   
  52.944847417494216   -35.67431396698544    101   2     "dE0,N or S"              17.2   
  53.04432553217765    -36.2191494084712     102   1     ImIV                      16.5   
  53.1134880884549     -35.7738573065181     103   1     dE2                       19.3   
  53.125909862403915   -34.346668572925346   104   2     dE6                       18.5   
  53.1241107597569     -36.086679593967624   105   1     dE1,N?                    17.3   
  53.19847181769216    -34.23722685464917    106   1     d:S0(6),N                 15.1   
  53.18748347879238    -37.83500017789093    107   1     dE3,N?                    17.0   
  53.20230605491958    -36.15170602684875    108   1     dE0                       19.1   
  53.19492836930298    -37.64030469414307    109   1     dE4                       18.3   
  53.23844667601063    -35.73628645672757    110   1     dE4                       16.8   
  53.26458535132984    -33.72303406591763    111   1     dE0,N                     16.8   
  53.26335194281583    -36.4419463079344     112   1     dS0(5),N                  17.1   
  53.278375512943754   -34.80726529658556    113   1     "ScdIII pec"              15.2   
  53.285769524946346   -35.39563346718953    114   2     dE1?                      19.7   
  53.28804122702711    -35.71675678011366    115   2     "Sdm(on edge)"            16.6   
  53.302901148615916   -36.015984394995655   116   1     dE1,N                     16.1   
  53.311049019738554   -37.81964691136682    117   1     dE0                       18.2   
  53.37978788783183    -34.45404501920833    118   1     dE0,N                     17.6   
  53.39060901745613    -33.57157824160982    119   1     "S0   pec"                15.0   
  53.392094896662165   -36.60411554852087    120   1     ImIV                      16.3   
  53.40070489225262    -36.13969962006006    121   1     SBbc(s)I                  10.2   
  53.42649196953255    -32.423373333420464   122   1     dS0                       17.3   
  53.43024120461577    -35.857589413291954   123   1     ImV                       16.7   
  53.453775522463765   -34.168219102790495   124   1     "dE3 + ImV"               18.0   
  53.451582847031055   -35.834616752659315   125   1     dE4                       18.7   
  53.48021132932079    -34.34526835445229    126   1     dE0                       20.4   
  53.5243167522205     -35.27517213543997    127   2     dE3?                      19.8   
  53.528895544640456   -36.46436934479919    128   1     ImIV                      16.8   
  53.531687890439976   -36.068264850156616   129   2     "ImV / dE"                19.7   
  53.53787695934061    -35.51522754728171    130   2     ImV?                      18.2   
  53.550380924605165   -35.22666217497191    131   2     dE3                       20.3   
  53.575735743838244   -35.7931559779995     132   2     dE2                       18.5   
  53.58369262659864    -35.36068244911081    133   1     dE0,N                     17.5   
  53.59024451614447    -34.59125556046524    134   2     "dE5 pec,N or E"          17.6   
  53.628116697240266   -34.29612259462557    135   1     dS0(5),N                  15.5   
  53.622527537199616   -35.54472488320988    136   1     dE2,N                     14.8   
  53.683446190594395   -35.85996621076114    137   1     dE0,N                     16.9   
  53.71394513562278    -36.3217570734368     138   2     dE2                       18.6   
  53.73848363131943    -32.63820386698655    139   1     SBmIII                    14.4   
  53.73480478373664    -35.189604303896964   140   1     dE4,N                     19.0   
  53.73804017193321    -35.20517267499783    141   2     dE4                       19.7   
  53.74232630282473    -35.04102104475628    142   1     dE2,N                     18.5   
  53.74615036943359    -35.16937068114968    143   1     E3                        14.3   
  53.7506681804199     -35.32077883600291    144   1     dE0                       19.2   
  53.772484038562276   -35.216974187999945   145   1     dE0                       19.6   
  53.79765108909794    -35.321518212307176   146   2     dE4,N                     19.5   
  53.81983430427978    -35.22604847385235    147   1     E0                        11.9   
  53.8200186062367     -35.265494056646766   148   1     S0(cross)                 13.6   
  53.84880573917878    -36.09006004335543    149   2     dE                        19.9   
  53.849662096544705   -36.36228858137629    150   1     dE4,N                     15.7   
  53.85535033605377    -36.17730884442295    151   1     dE0,N?                    18.0   
  53.887928725031955   -32.46239809974432    152   1     "S0/a pec"                14.1   
  53.87884444282279    -34.44571584080629    153   1     "S0  (9)"                 13.0   
  53.87666180321446    -35.24988237592002    154   1     dE3                       19.2   
  53.89091435062694    -34.80326684761086    155   1     dE2                       18.3   
  53.927712476592504   -35.33675002012892    156   1     dE1                       17.2   
  53.92792185879303    -35.512586047983596   157   1     dE0,N?                    18.3   
  53.94255453824205    -35.98820408900382    158   1     dE6,N                     16.8   
  53.98143193054747    -34.826399726778426   159   1     dE3,N                     18.1   
  54.016399197377396   -35.38737619340308    160   1     dE1,N                     17.7   
  54.016494950591124   -35.44154381440178    161   1     E0                        11.7   
  54.03027246273521    -35.43215334496467    162   1     dE0                       20.0   
  54.02825671721486    -35.841316498963344   163   1     dE0                       19.8   
  54.05334181648174    -36.165029611961295   164   1     dS0(5),N                  16.4   
  54.0977015922451     -35.90992328747218    165   1     dE6                       17.5   
  54.09922684469159    -37.16216535347013    166   2     dE3,N                     18.1   
  54.11446196571338    -34.97525689993474    167   1     S0/a                      11.3   
  54.115584157869854   -35.20915268094624    168   1     dE0                       18.7   
  54.12961891893509    -34.8008701765806     169   1     dE2                       17.2   
  54.131709345353414   -35.295328080905946   170   1     S0(9)(boxy)               13.0   
  54.1557156148131     -35.38459006858704    171   2     dE0,N?                    17.9   
  54.15244229088644    -37.36348791104135    172   2     dE4                       20.4   
  54.1790832778309     -34.15772457705831    173   1     "dE3 / ImV"               18.0   
  54.18890171272385    -33.01219594164469    174   2     "dE1,N or E(cD)"          16.7   
  54.17787678668928    -35.43412218358732    175   2     dE3                       18.8   
  54.1875180973966     -36.25472457505877    176   1     SBa(s)                    13.7   
  54.197351080007834   -34.73808026260103    177   1     "S0  (9)(cross)"          13.2   
  54.20209168017572    -34.27864965544069    178   1     dE3,N                     17.2   
  54.19280101013965    -35.99918699968724    179   1     Sa                        12.4   
  54.20472659576487    -36.228125310640685   180   1     dS0                       18.0   
  54.221141101552156   -34.936787063784344   181   1     dE2,N                     17.2   
  54.22605875836469    -35.37292217711336    182   1     "SB0 pec"                 14.9   
  54.219800825319474   -36.48485412266992    183   1     dS0(7),N                  17.2   
  54.236909371314795   -35.50657742624769    184   1     SB0                       12.3   
  54.261013856825464   -34.873887765718734   185   1     dE3                       19.5   
  54.24238995179889    -38.13301731491706    186   2     dE4                       17.8   
  54.26967001306257    -34.60169674778798    187   1     dE5                       17.5   
  54.26885524357381    -35.588648508678695   188   1     dE0,N                     16.1   
  54.283894833010756   -34.72980966113632    189   2     dE4,N                     18.8   
  54.286996588352686   -35.19371569463732    190   1     SB0                       13.5   
  54.291269307062      -35.38540124416267    191   2     dE3                       19.3   
  54.29160626009878    -35.886796892618435   192   2     dE0                       19.6   
  54.298696813061234   -35.74432326767339    193   1     "SB0  (5)"                12.8   
  54.32434315512933    -35.69720156415569    194   2     dE3                       18.2   
  54.34694779558232    -34.89867094537217    195   1     dE5,N                     16.7   
  54.39092364351465    -35.82774320385645    196   1     dE6                       17.7   
  54.420296745145926   -35.294797715158026   197   1     dE3                       19.1   
  54.42740268359512    -37.20734692840674    198   1     dE5                       17.9   
  54.43163048420746    -36.72513593431823    199   2     ImV                       19.0   
  54.477628491037336   -34.880575063957345   200   1     dE2                       17.4   
  54.4731108294455     -37.27836147120559    201   1     dE4                       16.7   
  54.52672902326539    -35.43827494379277    202   1     d:E6,N                    15.3   
  54.53797204480733    -34.516920599257524   203   1     dE6,N                     15.5   
  54.55675109039721    -33.12531367562611    204   1     dS0(8),N                  14.9   
  54.529497809956474   -38.094149171332354   205   1     dE1,N?                    16.9   
  54.55578627359468    -37.28841037294786    206   1     "dE0 pec"                 15.8   
  54.579720109547      -35.12736985331284    207   1     dE2,N                     15.9   
  54.577750760709925   -35.529033085789436   208   1     dE2,N                     17.3   
  54.593237983108985   -33.65851889291896    209   2     dE5,N                     18.7   
  54.57952435829724    -36.06432374877546    210   1     dE0                       18.7   
  54.58892560263976    -35.25824098573445    211   2     d:E2,N                    16.3   
  54.586976057996644   -36.411857069180165   212   1     dE1?                      17.6   
  54.62146467155311    -35.45059394824581    213   1     E0                        10.6   
  54.65202814619932    -35.832385686678776   214   1     dE0                       19.0   
  54.65623313533865    -35.755457032791995   215   2     dE,N?                     19.2   
  54.66301299157552    -36.556603875262155   216   2     dE0                       19.2   
  54.67278527411102    -36.725533341269845   217   2     "dE / ImV"                19.7   
  54.6886892815184     -35.264468998492866   218   1     dE4                       18.5   
  54.71708171243655    -35.59375165052171    219   1     E2                        10.9   
  54.72919938440424    -35.2351846129075     220   1     dE2                       19.5   
  54.773508368237515   -36.097314044875475   221   2     dE4,N                     17.7   
  54.80532941484316    -35.36965435556269    222   1     dE0,N                     15.6   
  54.83107185714519    -35.7233714005337     223   1     dE0,N                     16.2   
  54.88609776319177    -31.790215136661633   224   1     "ImV or dE"               16.9   
  54.906699273184074   -36.552014013564296   225   2     dE4                       19.6   
  54.958767099731716   -35.02109264795853    226   1     dE?                       17.8   
  54.95869898539798    -35.52109784207739    227   1     dE0,N?                    19.3   
  54.963640794014296   -35.320559711171505   228   1     dE0                       18.8   
  54.97989838525335    -35.66090580691809    229   1     dE0                       19.1   
  55.004825317886066   -34.756550516893654   230   1     dE5,N                     17.2   
  55.01867366924511    -34.16604366917918    231   1     dE0,N?                    18.4   
  55.03042363381055    -32.317737876739564   232   1     dE7,N                     17.4   
  55.02550161244371    -36.23220449871219    233   2     ImV                       19.6   
  55.04116931046792    -34.44502493901699    234   1     dE5,N                     17.2   
  55.03834244254955    -35.62308207740867    235   1     ImIII                     13.4   
  55.040807979437396   -35.83476089437119    236   2     dE2                       19.2   
  55.078695943090295   -33.420163309612285   237   1     dE3                       17.8   
  55.07105564041465    -36.53350013788483    238   2     dE5,N                     18.7   
  55.07709442353136    -37.498257505893385   239   2     dE5                       18.9   
  55.11420423971714    -31.6838979370408     240   1     ImIV                      16.5   
  55.09698582891924    -35.274422547925745   241   1     dE0,N                     16.6   
  55.085742328138586   -37.64273804573884    242   1     dE5                       17.8   
  55.11202609090621    -36.49755160229977    243   1     dE1,N                     16.5   
  55.1274647978525     -35.87621714725922    244   2     "dE6 / ImIV?"             18.2   
  55.140493297772245   -35.02125956087752    245   1     dE0,N                     16.0   
  55.156339444986735   -36.11966814322205    246   1     dE2                       19.1   
  55.17576267045095    -35.65974033171673    247   1     "dE3 / Im?"               17.8   
  55.18037640475971    -35.85948315330471    248   2     dE3                       18.7   
  55.174732587651036   -37.50920179800782    249   1     E0                        13.6   
  55.184111575270705   -37.406737950565976   250   1     dE1                       17.1   
  55.20619341096711    -35.0220767180997     251   1     dE0                       19.0   
