# ID RA DEC FCC Mem MType BTmag
FCC1 47.86277478099623 -33.41725994535353 1 2 dE,N 18.5
FCC2 48.92651183031877 -33.54111543414238 2 1 d:SBc(LSB) 15.1
FCC4 49.422108138810486 -37.14796619768848 4 1 dE2 17.0
FCC5 49.465876274202074 -36.7664570631572 5 1 "dE5 / ImV" 17.3
FCC6 49.47218728954189 -35.65146977220337 6 1 dE5 16.0
FCC7 49.693111783893286 -35.54561748988335 7 1 dE1 18.9
FCC8 49.72596996110021 -33.325718872085396 8 2 dE? 18.5
FCC11 50.10594183733171 -34.570472555504715 11 2 dE4,N 17.0
FCC14 50.300142936590774 -36.26621197632133 14 1 dE3 17.6
FCC15 50.415529680148666 -33.453283012595364 15 1 dE7 16.6
FCC16 50.430967897065436 -35.92503047410647 16 1 dE2 17.8
FCC17 50.56795659620817 -33.71718880503264 17 2 dE3,N 18.0
FCC19 50.594930751559005 -37.39593641804558 19 2 "dS0  (8),N" 15.2
FCC25 50.88961554295921 -36.9812052961118 25 1 dE0,N 17.7
FCC27 50.9823274888214 -34.807366249863904 27 2 dE2 19.3
FCC30 51.007065527573324 -37.22442783817363 30 2 "dE or dS0" 18.9
FCC31 51.07373790343277 -35.26160406668088 31 2 dE4 16.8
FCC32 51.21827596060113 -35.43409592956308 32 1 "dE pec / BCD" 15.4
FCC34 51.25938612137478 -35.22341596037693 34 2 dE 18.4
FCC36 51.3004633919907 -32.901327166574475 36 2 "dE4 pec,N" 15.9
FCC38 51.28914633355367 -36.55187509070669 38 1 "dE0 pec" 17.5
FCC40 51.353289447561274 -36.74323096653583 40 1 dE4 17.6
FCC42 51.442364259598406 -35.508278303717475 42 1 dE0 18.3
FCC43 51.5096764022417 -32.893508647921486 43 1 "dS0 /2 (5),N" 13.5
FCC44 51.531014391498076 -35.12749976814095 44 2 dS0 17.5
FCC46 51.60418663803505 -37.12613126722037 46 2 dE4 15.6
FCC48 51.67731895737695 -34.54721672460502 48 1 dE3 17.1
FCC49 51.68131237922817 -37.29753746584019 49 1 dE4 19.2
FCC50 51.72503443587075 -35.51713005859351 50 1 dE0,N 16.6
FCC51 51.72129921992737 -36.79740664738052 51 1 dE4 18.5
FCC52 51.783350323933355 -34.39845222654221 52 1 dE1 18.5
FCC54 51.82121822321648 -33.03441685607063 54 2 dE1,N 18.0
FCC56 51.83947050040873 -36.14507236651028 56 1 dE1,N 17.5
FCC57 51.86571593148164 -35.922114627290014 57 1 "dE6(boxy) pec" 17.8
FCC58 51.89416011069732 -37.50307291967167 58 1 dE2 18.0
FCC59 51.948072297912006 -33.563516819726765 59 1 dE0,N 19.4
FCC61 51.99992185088807 -33.66260467303591 61 1 dE3,N 18.0
FCC64 51.99918705356369 -38.539318598242595 64 1 dE5 17.5
FCC65 52.027258250438706 -35.23522451769011 65 1 "dE6,N or dS0" 17.5
FCC66 52.116797837482956 -33.73305223091834 66 1 dE3 16.9
FCC68 52.215979650651285 -33.84454420942463 68 1 dE5,N 16.5
FCC70 52.257117776169096 -37.359182152084855 70 2 dE2,N? 18.5
FCC71 52.35901287701716 -35.602332563438864 71 2 dE2 20.5
FCC72 52.38865710987145 -35.86633801487544 72 1 "dE0 / ImV" 19.3
FCC73 52.393280640922576 -36.70164226827911 73 2 dE3 19.4
FCC74 52.42417836691952 -31.96226969222326 74 2 dE 17.7
FCC75 52.40759426703946 -35.398350423944095 75 2 dE3 19.8
FCC77 52.424412614874356 -36.22009018168936 77 1 dE0,N 18.2
FCC79 52.437026106125316 -36.05513694987154 79 2 dE? 18.7
FCC80 52.5328880550161 -32.47380357807898 80 1 "dE or dS0" 15.6
FCC81 52.54159711441719 -33.69190431614579 81 2 dE1,N 17.1
FCC82 52.62658047283648 -34.25862604979675 82 1 dE1,N 16.4
FCC84 52.65206825262378 -35.04012100927834 84 2 dE0,N? 19.5
FCC85 52.691954972630725 -35.54805778413237 85 1 dE0,N 16.3
FCC86 52.69391996842373 -35.35306335971595 86 1 dE5,N? 17.5
FCC87 52.734475454692316 -33.5557018488505 87 1 dE3 18.6
FCC89 52.80066881099613 -33.24234322090992 89 1 dE,N 18.0
FCC93 52.83589939301691 -35.81806078268947 93 2 dE2 19.4
FCC94 52.84457215782458 -34.97030778590627 94 1 dE0 19.3
FCC95 52.85289052824408 -35.32951028101673 95 1 "dSB0 or dSBa" 14.6
FCC96 52.84340646252125 -37.610886784064235 96 2 "dE0 / ImV" 19.2
FCC97 52.86150145169588 -35.49315636689714 97 1 dE1 19.0
FCC99 52.936762444557836 -34.3367690035579 99 1 dE4 17.1
FCC100 52.94806396675314 -35.05015330150882 100 1 dE4,N 15.5
FCC101 52.944847417494216 -35.67431396698544 101 2 "dE0,N or S" 17.2
FCC103 53.1134880884549 -35.7738573065181 103 1 dE2 19.3
FCC104 53.125909862403915 -34.346668572925346 104 2 dE6 18.5
FCC105 53.1241107597569 -36.086679593967624 105 1 dE1,N? 17.3
FCC106 53.19847181769216 -34.23722685464917 106 1 d:S0(6),N 15.1
FCC107 53.18748347879238 -37.83500017789093 107 1 dE3,N? 17.0
FCC108 53.20230605491958 -36.15170602684875 108 1 dE0 19.1
FCC109 53.19492836930298 -37.64030469414307 109 1 dE4 18.3
FCC110 53.23844667601063 -35.73628645672757 110 1 dE4 16.8
FCC111 53.26458535132984 -33.72303406591763 111 1 dE0,N 16.8
FCC112 53.26335194281583 -36.4419463079344 112 1 dS0(5),N 17.1
FCC114 53.285769524946346 -35.39563346718953 114 2 dE1? 19.7
FCC116 53.302901148615916 -36.015984394995655 116 1 dE1,N 16.1
FCC117 53.311049019738554 -37.81964691136682 117 1 dE0 18.2
FCC118 53.37978788783183 -34.45404501920833 118 1 dE0,N 17.6
FCC122 53.42649196953255 -32.423373333420464 122 1 dS0 17.3
FCC124 53.453775522463765 -34.168219102790495 124 1 "dE3 + ImV" 18.0
FCC125 53.451582847031055 -35.834616752659315 125 1 dE4 18.7
FCC126 53.48021132932079 -34.34526835445229 126 1 dE0 20.4
FCC127 53.5243167522205 -35.27517213543997 127 2 dE3? 19.8
FCC131 53.550380924605165 -35.22666217497191 131 2 dN? 20.3
FCC132 53.575735743838244 -35.7931559779995 132 2 dE2 18.5
FCC133 53.58369262659864 -35.36068244911081 133 1 dE0,N 17.5
FCC134 53.59024451614447 -34.59125556046524 134 2 "dE5 pec,N or E" 17.6
FCC135 53.628116697240266 -34.29612259462557 135 1 dS0(5),N 15.5
FCC136 53.622527537199616 -35.54472488320988 136 1 dN? 14.8
FCC137 53.683446190594395 -35.85996621076114 137 1 dE0,N 16.9
FCC138 53.71394513562278 -36.3217570734368 138 2 dE2 18.6
