# ID RA DEC FCC Mem MType BTmag
FCC2 48.92651183031877 -33.54111543414238 2 1 d:SBc(LSB) 15.1
FCC4 49.422108138810486 -37.14796619768848 4 1 dE2 17.0
FCC5 49.465876274202074 -36.7664570631572 5 1 "dE5 / ImV" 17.3
FCC6 49.47218728954189 -35.65146977220337 6 1 dE5 16.0
FCC7 49.693111783893286 -35.54561748988335 7 1 dE1 18.9
FCC8 49.72596996110021 -33.325718872085396 8 2 dE? 18.5
FCC14 50.300142936590774 -36.26621197632133 14 1 dE3 17.6
FCC15 50.415529680148666 -33.453283012595364 15 1 dE7 16.6
FCC16 50.430967897065436 -35.92503047410647 16 1 dE2 17.8
FCC27 50.9823274888214 -34.807366249863904 27 2 dE2 19.3
FCC30 51.007065527573324 -37.22442783817363 30 2 "dE or dS0" 18.9
FCC31 51.07373790343277 -35.26160406668088 31 2 dE4 16.8
FCC32 51.21827596060113 -35.43409592956308 32 1 "dE pec / BCD" 15.4
FCC34 51.25938612137478 -35.22341596037693 34 2 dE 18.4
FCC38 51.28914633355367 -36.55187509070669 38 1 "dE0 pec" 17.5
FCC40 51.353289447561274 -36.74323096653583 40 1 dE4 17.6
FCC42 51.442364259598406 -35.508278303717475 42 1 dE0 18.3
FCC44 51.531014391498076 -35.12749976814095 44 2 dS0 17.5
FCC46 51.60418663803505 -37.12613126722037 46 2 dE4 15.6
FCC48 51.67731895737695 -34.54721672460502 48 1 dE3 17.1
FCC49 51.68131237922817 -37.29753746584019 49 1 dE4 19.2
FCC51 51.72129921992737 -36.79740664738052 51 1 dE4 18.5
FCC52 51.783350323933355 -34.39845222654221 52 1 dE1 18.5
FCC57 51.86571593148164 -35.922114627290014 57 1 "dE6(boxy) pec" 17.8
FCC58 51.89416011069732 -37.50307291967167 58 1 dE2 18.0
FCC64 51.99918705356369 -38.539318598242595 64 1 dE5 17.5
FCC65 52.027258250438706 -35.23522451769011 65 1 "dE6,N or dS0" 17.5
FCC66 52.116797837482956 -33.73305223091834 66 1 dE3 16.9
FCC71 52.35901287701716 -35.602332563438864 71 2 dE2 20.5
FCC72 52.38865710987145 -35.86633801487544 72 1 "dE0 / ImV" 19.3
FCC73 52.393280640922576 -36.70164226827911 73 2 dE3 19.4
FCC74 52.42417836691952 -31.96226969222326 74 2 dE 17.7
FCC75 52.40759426703946 -35.398350423944095 75 2 dE3 19.8
FCC79 52.437026106125316 -36.05513694987154 79 2 dE? 18.7
FCC80 52.5328880550161 -32.47380357807898 80 1 "dE or dS0" 15.6
FCC87 52.734475454692316 -33.5557018488505 87 1 dE3 18.6
FCC93 52.83589939301691 -35.81806078268947 93 2 dE2 19.4
FCC94 52.84457215782458 -34.97030778590627 94 1 dE0 19.3
FCC95 52.85289052824408 -35.32951028101673 95 1 "dSB0 or dSBa" 14.6
FCC96 52.84340646252125 -37.610886784064235 96 2 "dE0 / ImV" 19.2
FCC97 52.86150145169588 -35.49315636689714 97 1 dE1 19.0
FCC99 52.936762444557836 -34.3367690035579 99 1 dE4 17.1
FCC101 52.944847417494216 -35.67431396698544 101 2 "dE0,N or S" 17.2
FCC103 53.1134880884549 -35.7738573065181 103 1 dE2 19.3
FCC104 53.125909862403915 -34.346668572925346 104 2 dE6 18.5
FCC108 53.20230605491958 -36.15170602684875 108 1 dE0 19.1
FCC109 53.19492836930298 -37.64030469414307 109 1 dE4 18.3
FCC110 53.23844667601063 -35.73628645672757 110 1 dE4 16.8
FCC114 53.285769524946346 -35.39563346718953 114 2 dE1? 19.7
FCC117 53.311049019738554 -37.81964691136682 117 1 dE0 18.2
FCC122 53.42649196953255 -32.423373333420464 122 1 dS0 17.3
FCC124 53.453775522463765 -34.168219102790495 124 1 "dE3 + ImV" 18.0
FCC125 53.451582847031055 -35.834616752659315 125 1 dE4 18.7
FCC126 53.48021132932079 -34.34526835445229 126 1 dE0 20.4
FCC127 53.5243167522205 -35.27517213543997 127 2 dE3? 19.8
FCC132 53.575735743838244 -35.7931559779995 132 2 dE2 18.5
FCC134 53.59024451614447 -34.59125556046524 134 2 "dE5 pec,N or E" 17.6
FCC138 53.71394513562278 -36.3217570734368 138 2 dE2 18.6
FCC144 53.7506681804199 -35.32077883600291 144 1 dE0 19.2
FCC145 53.772484038562276 -35.216974187999945 145 1 dE0 19.6
FCC149 53.84880573917878 -36.09006004335543 149 2 dE 19.9
