# ID RA DEC FCC Mem MType BTmag
FCC114 53.285769524946346 -35.39563346718953 114 2 dE1? 19.7
FCC125 53.451582847031055 -35.834616752659315 125 1 dE4 18.7
FCC127 53.5243167522205 -35.27517213543997 127 2 dE3? 19.8
FCC132 53.575735743838244 -35.7931559779995 132 2 dE2 18.5
FCC144 53.7506681804199 -35.32077883600291 144 1 dE0 19.2
FCC145 53.772484038562276 -35.216974187999945 145 1 dE0 19.6
FCC149 53.84880573917878 -36.09006004335543 149 2 dE 19.9
FCC154 53.87666180321446 -35.24988237592002 154 1 dE3 19.2
FCC155 53.89091435062694 -34.80326684761086 155 1 dE2 18.3
FCC156 53.927712476592504 -35.33675002012892 156 1 dE1 17.2
FCC159 53.98143193054747 -34.826399726778426 159 1 d 18.1
FCC163 54.02825671721486 -35.841316498963344 163 1 dE0 19.8
FCC164 54.053605 -36.166272 164 1 d 16.4
FCC169 54.12961891893509 -34.8008701765806 169 1 dE2 17.2
FCC175 54.17787678668928 -35.43412218358732 175 2 dE3 18.8
FCC180 54.20472659576487 -36.228125310640685 180 1 dS0 18.0
FCC185 54.261013856825464 -34.873887765718734 185 1 dE3 19.5
FCC187 54.26967001306257 -34.60169674778798 187 1 d 17.5
FCC195 54.34694779558232 -34.89867094537217 195 1 d 16.7
FCC197 54.420296745145926 -35.294797715158026 197 1 dE3 19.1
FCC200 54.477628491037336 -34.880575063957345 200 1 dE2 17.4
FCC207 54.580167 -35.12905 207 1 d 15.9
FCC210 54.57952435829724 -36.06432374877546 210 1 dE0 18.7
FCC214 54.65202814619932 -35.832385686678776 214 1 dE0 19.0
FCC220 54.72919938440424 -35.2351846129075 220 1 dE2 19.5
FCC226 54.958767099731716 -35.02109264795853 226 1 dE? 17.8
FCC228 54.963640794014296 -35.320559711171505 228 1 dE0 18.8
FCC230 55.005457 -34.758155 230 1 d 17.2
FCC247 55.17576267045095 -35.65974033171673 247 1 "dE3 / Im?" 17.8
FCC248 55.18037640475971 -35.85948315330471 248 2 dE3 18.7
FCC251 55.20619341096711 -35.0220767180997 251 1 dE0 19.0
FCC256 55.26523839756432 -34.95314457151316 256 1 dE3 20.1
FCC257 55.26649823777892 -35.645935014545394 257 2 d 18.1
FCC258 55.27913047893615 -35.68876363028846 258 1 dE2 19.6
FCC262 55.33869110360629 -35.94705963624989 262 1 dE1 17.8
FCC264 55.381966 -35.589611 264 1 dS0 16.8
FCC269 55.488617959852085 -35.29070658418274 269 1 dE0 18.3
FCC272 55.545509583732695 -35.442324636202876 272 1 dE 19.2
FCC275 55.578486544527294 -35.559402318385175 275 1 dE 19.3
FCC280 55.65343156569695 -35.95442902541559 280 1 dE1 18.6
FCC281 55.66062244379295 -35.86640127275599 281 1 dE1 17.9
FCC287 55.80579537090939 -35.517257091063335 287 2 dE0 18.0
