# ID RA DEC FCC Mem MType BTmag
FCC1 47.86277478099623 -33.41725994535353 1 2 dE,N 18.5
FCC11 50.10594183733171 -34.570472555504715 11 2 dE4,N 17.0
FCC17 50.56795659620817 -33.71718880503264 17 2 dE3,N 18.0
FCC19 50.594930751559005 -37.39593641804558 19 2 "dS0  (8),N" 15.2
FCC25 50.88961554295921 -36.9812052961118 25 1 dE0,N 17.7
FCC36 51.3004633919907 -32.901327166574475 36 2 "dE4 pec,N" 15.9
FCC43 51.5096764022417 -32.893508647921486 43 1 "dS0 /2 (5),N" 13.5
FCC50 51.72503443587075 -35.51713005859351 50 1 dE0,N 16.6
FCC54 51.82121822321648 -33.03441685607063 54 2 dE1,N 18.0
FCC56 51.83947050040873 -36.14507236651028 56 1 dE1,N 17.5
FCC59 51.948072297912006 -33.563516819726765 59 1 dE0,N 19.4
FCC61 51.99992185088807 -33.66260467303591 61 1 dE3,N 18.0
FCC68 52.215979650651285 -33.84454420942463 68 1 dE5,N 16.5
FCC70 52.257117776169096 -37.359182152084855 70 2 dE2,N? 18.5
FCC77 52.424412614874356 -36.22009018168936 77 1 dE0,N 18.2
FCC81 52.54159711441719 -33.69190431614579 81 2 dE1,N 17.1
FCC82 52.62658047283648 -34.25862604979675 82 1 dE1,N 16.4
FCC84 52.65206825262378 -35.04012100927834 84 2 dE0,N? 19.5
FCC85 52.691954972630725 -35.54805778413237 85 1 dE0,N 16.3
FCC86 52.69391996842373 -35.35306335971595 86 1 dE5,N? 17.5
FCC89 52.80066881099613 -33.24234322090992 89 1 dE,N 18.0
FCC100 52.94806396675314 -35.05015330150882 100 1 dE4,N 15.5
FCC105 53.1241107597569 -36.086679593967624 105 1 dE1,N? 17.3
FCC106 53.19847181769216 -34.23722685464917 106 1 d:S0(6),N 15.1
FCC107 53.18748347879238 -37.83500017789093 107 1 dE3,N? 17.0
FCC111 53.26458535132984 -33.72303406591763 111 1 dE0,N 16.8
FCC112 53.26335194281583 -36.4419463079344 112 1 dS0(5),N 17.1
FCC116 53.302901148615916 -36.015984394995655 116 1 dE1,N 16.1
