 reg      rez    g     g-z   z 
 208.01 211.38  8.37  1.60  6.79
 163.83 164.18  8.79  1.60  7.19
  98.16  98.48  9.08  1.62  7.45
 411.84 440.99  8.53  1.57  6.97
 170.82 160.68  9.07  1.38  7.68
 146.97 155.47  9.16  1.56  7.59
 115.39 122.69  9.72  1.53  8.15
 106.75 126.44  9.79  1.53  8.18
  85.12  84.37  9.94  1.61  8.36
  16.89  18.64 10.95  1.53  9.38
  11.87  14.29 11.71  1.44 10.17
  28.15  29.50 10.89  1.54  9.31
  16.92  14.21 11.06  1.53  9.62
  24.13  31.45 11.13  1.50  9.44
   7.93   7.74 12.22  1.57 10.66
  26.18  27.27 11.34  1.54  9.79
   9.50   9.34 11.65  1.53 10.15
  10.45   9.44 11.71  1.51 10.27
  11.91  11.20 11.59  1.55 10.09
  15.76  15.91 11.63  1.54 10.08
  21.63  20.78 11.98  1.45 10.54
  12.57  11.61 11.81  1.48 10.39
  14.79  13.36 11.77  1.49 10.38
  11.45  12.01 11.96  1.46 10.47
  32.52  27.22 11.75  1.44 10.41
   9.78   8.83 12.08  1.52 10.59
  10.43   9.98 12.18  1.42 10.81
  24.99  25.02 11.76  1.32 10.40
  16.88  16.67 12.19  1.46 10.73
  14.24  13.67 12.19  1.43 10.77
   8.01   7.92 12.56  1.45 11.12
   5.90   5.19 12.67  1.47 11.27
  37.07  30.00 12.28  1.33 11.05
  10.81  10.50 12.71  1.48 11.25
  11.07  11.78 12.40  1.21 11.17
  13.29  13.11 12.54  1.50 11.03
  18.60  16.04 12.70  1.36 11.46
  11.13  10.12 12.61  1.43 11.22
  15.18  12.89 12.68  1.42 11.35
  14.67  14.39 12.90  1.43 11.48
   6.61   5.64 12.99  1.63 11.53
  13.26  11.16 12.85  1.42 11.69
   9.49   9.49 13.06  1.35 11.73
   6.58   5.83 13.06  1.47 11.67
  19.28  19.46 13.02  1.47 11.53
  20.95  20.13 13.29  1.20 12.12
  16.01  15.20 13.04  1.38 11.69
  19.29  21.98 13.60  1.27 12.24
  11.90  12.64 13.82  1.22 12.56
   6.82   6.92 14.13  1.45 12.68
  29.62  36.14 13.81  1.15 12.43
# 490.00 490.00 11.44  1.35 10.10
  12.52  12.01 14.12  1.41 12.75
   9.94   8.38 14.68  1.10 13.71
  14.72  16.70 14.25  1.22 12.91
   9.24   9.27 14.08  1.22 12.86
  24.55  30.52 14.44  1.19 13.02
  18.87  20.37 13.87  1.29 12.51
   2.33   2.29 13.88  1.53 12.34
  15.14  18.24 14.22  1.33 12.74
  17.14  18.29 14.12  1.24 12.83
   9.86   9.90 14.29  1.42 12.86
   9.90   9.88 14.34  1.29 13.06
  20.21  27.05 14.23  1.15 12.83
   7.38   7.73 14.46  1.21 13.21
  25.02  25.99 13.82  1.26 12.52
  15.25  19.06 14.42  1.19 13.01
   9.10   9.16 15.03  1.10 13.93
  12.80  13.12 14.79  1.21 13.55
  13.26  14.13 14.77  1.10 13.63
   9.76  12.28 14.79  0.82 13.74
   9.31  10.50 14.78  0.88 13.78
  10.77  11.29 14.74  0.92 13.75
  10.07  10.43 14.88  1.11 13.73
   5.50   6.48 14.94  0.51 14.18
  11.24  10.74 14.77  1.34 13.45
   7.27   7.09 14.48  1.52 12.98
  20.82  21.88 14.82  0.92 13.81
  14.57  17.80 14.96  1.20 13.54
  10.94  12.22 15.52  1.05 14.34
   3.73   3.87 15.11  1.42 13.64
   7.75   7.70 14.67  1.26 13.40
   9.71   9.10 15.45  1.17 14.34
  10.80  11.74 15.12  1.16 13.88
   8.58  10.96 15.54  1.23 14.11
   9.95  12.98 14.64  1.33 13.12
  14.55  16.49 15.09  1.25 13.72
   4.82   4.86 15.91  1.16 14.74
  10.17  10.89 15.03  1.23 13.74
  12.61  13.40 15.29  1.00 14.21
   3.41   3.32 15.74  1.56 14.18
  10.41  10.72 15.47  1.14 14.31
  26.30  22.38 15.15  1.21 14.06
  18.50  21.16 15.24  1.28 13.81
   7.06   6.87 15.51  1.16 14.37
# 490.00  76.82 13.79  1.19 13.24
  10.40  11.09 15.89  1.08 14.73
  58.07  39.27 14.55  1.28 13.63
