#No. 		D   	gT		err    Mg     g-r  err   	r-i  err  	mug 	mueg 	mu0g 	Reff 			h  
#(1)		(2)		(3)	  (4)	   (5)	  (6)	 (7)		(8)	 (9)		(10)	(11)  (12)  (13) (14) (15) (16)
#      [Mpc]  [mag]       [mag]   [mag]       [mag]       [mag arcsec^-2]   ["] [kpc] ['] [kpc]
#2				49.9	18.48 0.15	-15.01	0.05 0.23 	0.15 0.34		24.00	25.32	23.72	7.4 1.7 	4.9 1.2 
#12	 	 312.7	17.49 0.12	-19.98	0.49 0.18 	0.26 0.21		21.88	23.25	21.85	5.5 7.3 	3.6 4.8 
#13	 	 143.6	17.27 0.07	-18.51	0.35 0.10 	0.16 0.12		22.75	23.59	21.81	6.7 4.3 	3.5 2.3 
14			44	  17.25 0.09	-15.97	0.44 0.11 	0.26 0.11		22.49	24.46	22.92	8.8 1.8 	6.1 1.3 
#15			43.2	16.72 0.02	-16.46	0.40 0.02 	0.13 0.02		22.97	24.81	23.38	13.8 2.8 	9.3 1.9 
#16			42.6	18.45 0.08	-14.70	0.45 0.09 	0.14 0.11		22.98	24.19	22.67	4.6 0.9 	3.1 0.6 
#17			48.6	17.14 0.08	-16.30	0.53 0.09 	0.29 0.10		21.21	23.39	22.31	5.0 1.1 	4.0 0.9 
#18			39	  18.21 0.07	-14.74	0.37 0.10 	0.18 0.10		22.92	23.92	0.000 4.6 0.8 	0.0 0.0
#210	 	 407.3	18.15 0.05	-19.90	0.30 0.07 	0.36 0.07		21.71	22.91	21.29	3.2 5.3 	2.2 3.6 
#21W2 	 407.3	17.59 0.09	-20.46	0.46 0.13 	0.24 0.12		22.40	23.93	22.39	6.7 11.2 	4.7 7.9 
#22	 	 206.4	17.30 0.04	-19.28	0.10 0.06 	0.25 0.11		21.07	23.42	22.16	4.9 4.4 	4.1 3.7 
#22SE3	 206.4 	19.33 0.07	-17.2  -0.26 0.00 	0.37 0.00		22.39	23.72	22.08	2.2 2.0 	1.5 1.3 
#22SW4	 206.4 	20.10 0.07	-16.5	  0.56 0.10 	0.49 0.12		22.97	23.82	22.48	1.7 1.6 	1.3 1.2 
#23		 140.4	18.43 0.07	-17.31	0.30 0.09 	0.20 0.09		22.6	23.34	21.92	3.3 2.1 	2.2 1.4 
#24		 580.4	17.42 0.05	-21.40	0.50 0.07 	0.28 0.06		20.87	23.02	21.22	4.9 11.0 	3.0 6.6 
#25		 144.7	18.20 0.05	-17.60	0.21 0.06 	0.16 0.09		22.61	23.74	22.23	4.4 2.9 	2.9 1.9 
#26		 296.1	15.39 0.08	-21.97	0.81 0.11 	0.44 0.09		18.16	22.35 0.000	5.7 7.2 	0.0 0.0
#27		 285.2	16.20 0.14	-21.08	0.74 0.18 	0.37 0.17		18.86	23.04	0.000	5.5 6.7 	0.0 0.0
29			17.3	16.82 0.01	-14.37	0.29 0.01 	0.14 0.01		23.24	24.52	23.02	11.2 0.9 	7.7 0.6 
30			20.0	17.77 0.07	-13.71	0.36 0.10 	0.32 0.12		23.96	25.79	24.00	11.8 1.1 	7.2 0.7 
#31    1379.3  18.61 0.16  -22.09  0.41 0.20  -0.06 0.23   22.85 24.35 22.77 7.0 29.0  4.7 19.4 										
#32		   5.9	15.17 0.01	-13.68	0.35 0.01 	0.17 0.01		21.45	22.95	21.87	10.3 0.3 	7.8 0.2 
#34		  12.9	18.62 0.08	-11.93	0.43 0.10 	0.02 0.11		22.4	24.79	23.47	5.2 0.3 	4.4 0.3 
#36			34.7	17.17 0.02	-15.53	0.13 0.03 	0.04 0.00		22.74	24.04	22.4	7.7 1.3 	4.6 0.8 
#38			12.0	18.61 0.08	-11.78	0.32 0.13 	0.03 0.28		23.15	24.9	23.39	6.2 0.4 	4.0 0.2 
#40		 155.6	18.62 0.10	-17.34	0.35 0.13 	0.17 0.20		21.29	23.09	21.24	2.4 1.7 	1.4 1.0 
#42		 251.8	18.36 0.03	-18.64	0.26 0.04 	0.24 0.03		21.04	22.1	20.25	2.0 2.2 	1.1 1.2 
#44		 116.7	19.10 0.05	-16.24	0.17 0.07	 -0.03 0.08		22.54	23.49	20.98	2.6 1.4 	1.2 0.6 
#45		 229.8	19.40 0.04	-17.41	0.18 0.08 	0.04 0.20		23.09	23.94	21.72	2.9 2.9 	1.4 1.4 
#47			68.0	18.45 0.02	-15.71	0.44 0.08 	0.27 0.16		23.15	24.45	22.98	4.8 1.5 	3.1 1.0 
#48			65.7	17.81 0.07	-16.28	0.44 0.10 	0.27 0.12		22.55	24.19	22.41	5.6 1.7 	3.5 1.1 
#49			55.6	15.91 0.11	-17.82	0.49 0.15 	0.26 0.15		21.26	22.88	21.12	7.3 1.9 	4.5 1.2 
#50			97.3	18.10 0.11	-16.84	0.48 0.15 	0.31 0.17		22.69	24.21	22.95	5.0 2.3 	3.4 1.5 
#51			61.4	15.58 0.01	-18.36	0.54 0.01 	0.29 0.01		20.13	21.89	21.92	5.1 1.5 	5.1 1.5 
#52		 601.4	19.04 0.05	-19.85	0.38 0.08 	0.29 0.10		22.81	24.21	22.22	4.5 10.3 	2.2 5.0 
#53			64.3	18.06 0.08	-15.98	0.42 0.13 	0.16 0.15		22.69	23.86	21.67	4.7 1.4 	2.3 0.7 
#54		 974.2	19.07 0.09	-20.87	0.50 0.10 	0.29 0.09		21.59	22.87	20.95	2.6 8.7 	1.3 4.4 
#55		 923.1	20.42 0.03	-19.40	0.18 0.04 	0.29 0.04		21.09	22.26	20.29	1.0 3.1 	0.5 1.7 
