g          z            reff
18.17      16.35        0.132  
15.22      13.53        0.889  
17.97      16.54        0.100  
17.26      15.82        0.228  
19.06      18.29        0.153  
17.76      16.95        0.130  
16.09      14.86        0.750  
21.57      20.05        0.039  
19.67      18.64        0.129  
18.64      17.29        0.359  
20.08      19.22        0.038  
16.38      15.69        0.270  
20.22      19.14        0.028  
20.08      18.75        0.089  
20.16      18.98        0.064  
20.32      19.29        0.016  
19.95      18.81        0.094  
21.25      20.10        0.035  
20.38      19.31        0.055  
22.15      21.62        0.038  
20.00      18.86        0.092  
20.20      19.56        0.025  
21.28      20.31        0.073  
20.69      19.54        0.042  
20.86      20.02        0.042  
20.57      19.64        0.053  
22.92      22.13        0.040  
21.32      20.41        0.081  
19.72      18.77        0.079  
21.78      20.92        0.051  
21.01      20.10        0.072  
