gmag  g-r   r-i   rh[pc]            
17.57  0.68  0.36  _            
17.58  0.97  0.54  2.71         
17.86  0.52  0.28  1.93         
17.94  0.58  0.37  4.05         
17.40  0.76  0.36  2.13         
16.12  0.80  0.42  2.27         
15.92  0.76  0.37  3.47         
17.23  0.76  0.40  2.77         
17.24  0.61  0.30  2.00         
17.04  0.66  0.36  5.37         
17.06  0.63  0.29  1.84         
15.43  0.60  0.30  3.00         
17.63  0.75  0.42  5.08         
18.61  1.19  0.72  3.91         
17.99  0.81  0.43  2.59         
18.32  0.56  0.37  _            
16.48  0.97  0.54  3.09         
15.43  0.78  0.40  2.67         
18.11  0.96  0.48  4.75         
15.29  0.70  0.33  2.72         
18.01  1.04  0.57  2.90         
17.74  0.57  0.29  2.14         
17.29  0.77  0.37  1.71         
17.28  0.81  0.40  1.69         
18.02  0.86  0.47  2.37         
16.05  0.70  0.35  2.56         
17.31  0.66  0.38  2.41         
17.21  0.88  0.50  4.16         
18.20  1.25  0.65  1.88         
18.41  1.01  0.50  1.80         
18.21  1.03  0.56  1.58         
18.37  0.81  0.43  2.78         
15.90  0.77  0.40  2.16         
17.89  0.77  0.38  1.30         
17.92  0.84  0.41  1.89         
17.96  2.01  1.14  3.88         
16.98  0.80  0.40  1.94         
16.64  1.09  0.59  2.76         
19.06  1.25  0.61  _            
18.72  0.47  0.29  4.42         
17.04  1.42  0.68  1.89         
17.32  0.97  0.50  _            
19.75  1.15  0.66  _            
16.24  0.78  0.40  2.87         
18.26  0.64  0.32  1.84         
17.80  0.63  0.29  3.38         
17.07  0.84  0.47  _            
17.25  0.76  0.40  1.74         
19.18  0.75  0.36  _            
16.74  1.00  0.52  _            
18.68  0.79  0.52  1.89         
17.31  1.16  0.63  _            
19.31  0.99  0.48  _            
17.74  0.86  0.50  2.51         
17.89  0.58  0.30  3.09         
15.36  0.65  0.32  2.07         
17.85  1.01  0.54  _            
17.07  0.58  0.31  1.82         
17.25  1.06  0.55  2.40         
16.31  1.06  0.57  2.04         
16.66  0.68  0.34  _            
16.66  0.64  0.34  _            
17.25  0.66  0.32  2.67         
17.56  0.57  0.29  1.48         
16.93  1.05  0.56  2.49         
17.22  0.63  0.34  _            
18.59  0.92  0.39  _            
18.30  1.42  0.75  _            
16.41  0.76  0.38  2.33         
17.01  0.64  0.32  2.91         
17.96  0.87  0.42  _            
17.20  0.70  0.37  2.17         
17.96  1.00  0.54  _            
18.55  1.34  0.68  _            
17.92  1.13  0.58  _            
16.36  1.45  0.75  2.11         
17.45  0.66  0.34  4.98         
18.87  1.16  0.61  _            
17.21  0.64  0.29  2.52         
15.43  0.58  0.30  _            
19.12  0.81  0.36  _            
18.00  0.66  0.38  _            
15.94  0.99  0.53  _            
18.85  0.71  0.40  1.95         
17.94  0.88  0.53  _            
15.86  0.80  0.47  1.30         
17.37  0.68  0.34  _            
17.27  0.83  0.46  _            
15.99  0.79  0.43  1.84         
17.08  1.01  0.57  _            
17.42  0.91  0.44  _            
16.70  0.75  0.36  1.21         
17.22  0.67  0.36  _            
18.23  0.78  0.38  3.88         
17.27  0.65  0.34  _            
18.17  0.75  0.43  _            
15.68  0.82  0.45  _            
17.65  0.68  0.29  _            
17.71  0.77  0.44  _            
16.57  0.80  0.42  _            
16.29  0.81  0.40  _            
17.85  0.81  0.46  _            
16.92  0.84  0.44  _            
18.79  0.59  0.39  _            
15.61  0.71  0.37  1.62         
17.17  0.64  0.33  1.85         
16.81  0.93  0.52  _            
17.36  0.59  0.35  _            
16.55  0.80  0.54  _            
17.61  1.32  0.68  _            
16.72  0.60  0.28  1.96         
17.98  0.90  0.48  _            
18.59  1.41  0.76  _            
17.72  0.75  0.44  _            
16.81  0.58  0.29  3.78         
17.54  0.65  0.27  _            
14.50  0.94  0.42  _            
