dwarf   r_eff [kpc]   M_g
DF1     3.1         -14.6    
DF2     2.1         -14.3    
DF3     2.9         -14.2    
DF4     3.9         -14.3    
DF5     1.8         -13.5    
DF6     4.4         -14.3    
DF7     4.3         -16.0    
DF8     4.4         -14.9    
DF9     2.8         -14.0    
DF10    2.4         -14.7    
DF11    2.1         -14.8    
DF12    2.6         -14.1    
DF13    2.2         -13.7    
DF14    3.8         -14.4    
DF15    4.0         -14.9    
DF16    1.5         -13.2    
DF17    4.4         -15.2    
DF18    2.8         -13.4    
DF19    4.4         -14.5    
DF20    2.3         -13.0    
DF21    1.5         -14.6    
DF22    2.1         -13.8    
DF23    2.3         -14.3    
DF24    1.8         -12.5    
DF25    4.4         -14.5    
DF26    3.3         -15.4   
DF28    2.7         -14.9    
DF29    3.1         -14.6    
DF30    3.2         -15.2    
DF31    2.5         -14.1    
DF32    2.8         -14.2    
DF33    1.9         -13.4    
DF34    3.4         -13.6    
DF35    2.7         -13.9    
DF36    2.6         -14.3    
DF37    1.5         -13.7    
DF38    1.8         -14.3    
DF39    4.0         -14.7    
DF40    2.9         -14.6    
DF41    3.4         -14.7    
DF42    2.9         -14.1    
DF43    1.5         -13.8    
DF44    4.6         -15.7    
DF45    1.9         -14.2    
DF46    3.4         -14.4    
DF47    4.2         -14.6    

