#Table 1 from Hong-Xin Zhang et al. 2015 ApJ 802 30
#Ultra-compact Dwarfs
#
#ID			R.A.(J2000)	Decl.(J2000) v_los	u*						g								r								i								z								K_s							E(B-V) r_h,NGVS			r_h,HST	
#				(deg)				(deg)				(km s^-1)	(mag)				(mag)						(mag)						(mag)						(mag)						(mag)						(mag)	 (pc)					(pc)	
#Old Sample^a	
H27916	187.71521	12.23610	1299  10	22.10     0.01	21.05     0.00	20.52     0.00	20.38     0.00	20.22     0.01	20.48     0.01	0.024	13.5     0.2	13.7	
H30401	187.82795	12.26247	1323  46	22.54     0.01	21.59     0.01	21.06     0.00	20.86     0.01	20.74     0.01	20.94     0.02	0.022	11.3     0.2	10.7	
H30772	187.74191	12.26728	1224   9	  NaN     NaN  	20.75	     NaN    NaN 		NaN  	19.84	     NaN    NaN      NaN    NaN   	 NaN  0.023	 NaN     NaN   9.7	
H36612	187.48603	12.32538	1601   3	21.11     0.00	19.99     0.00	19.43     0.00	19.16     0.00	19.06     0.00	19.16     0.00	0.027	17.5     0.3	10.9	
H44905	187.73785	12.39440	1563  18	22.99     0.02	21.92     0.01	21.37     0.01	21.14     0.01	21.05     0.01	21.13     0.02	0.023	22.3     1.1	18.5	
H55930	187.63929	12.49845	1297   4	20.42     0.00	19.24     0.00	18.68     0.00	18.45     0.00	18.33     0.00	18.41     0.00	0.021	32.9     0.5	35.8	
S417	187.75616	12.32351	1860     2	21.00     0.00	19.65     0.00	19.03     0.00	18.70     0.00	18.49     0.00	18.40     0.00	0.023	15.0     0.2	14.7	
S477	187.74961	12.30030	1651    62	21.01     0.00	20.06     0.00	19.56     0.00	19.34     0.00	19.22     0.00	19.52     0.01	0.023	23.8     0.5	33.5	
S547	187.73910	12.42903	 714     2	20.46     0.00	18.87     0.00	18.16     0.00	17.76     0.00	17.48     0.00	17.10     0.00	0.022	20.3     2.5	21.6	
S672	187.72804	12.36065	 735   106	21.85     0.01	20.83     0.00	20.30     0.00	20.08     0.00	19.96     0.00	20.18     0.01	0.024	19.3     3.0	25.9	
S682	187.72775	12.33962	1333   106	22.21     0.01	21.30     0.00	20.81     0.00	20.60     0.01	20.50     0.01	20.82     0.02	0.024	20.2     0.3	23.7	
S686	187.72421	12.47187	 817   106	21.53     0.00	20.58     0.00	20.05     0.00	19.83     0.00	19.70     0.00	19.97     0.01	0.021	16.3     0.6	21.2	
S723	187.72399	12.33940	1398   106	22.68     0.01	21.74     0.00	21.21     0.00	21.01     0.01	20.85     0.01	21.12     0.02	0.024	 NaN     NaN 	16.9	
S731	187.72452	12.28682	1020     9	22.24     0.01	21.10     0.00	20.56     0.00	20.25     0.00	20.13     0.01	20.19     0.01	0.024	20.7     0.4	19.0	
S796	187.71563	12.34815	1163   106	21.84     0.01	20.81     0.00	20.28     0.00	20.05     0.00	19.92     0.00	20.18     0.01	0.024	11.8     0.1	15.3	
S825	187.71263	12.35542	1142   106	22.60     0.01	21.63     0.00	21.12     0.00	20.91     0.01	20.80     0.01	21.17     0.02	0.024	12.8     1.0	13.3	
S887	187.70389	12.36544	1811   106	  NaN      NaN 	21.19	    0.00   NaN       NaN 	20.33	    0.00    NaN      NaN    NaN      NaN 	0.024	 NaN     NaN 	 9.8	
S928	187.69875	12.40845	1284     5	20.81     0.00	19.78     0.00	19.26     0.00	19.02     0.00	18.90     0.00	19.06     0.00	0.023	26.1     0.4	23.0	
S999	187.69130	12.41709	1467     5	21.35     0.00	20.30     0.00	19.78     0.00	19.52     0.00	19.40     0.00	19.58     0.00	0.022	20.6     0.6	21.9	
S1201	187.67423	12.39478	1211    106	22.16     0.01	21.18     0.00	20.66     0.00	20.42     0.00	20.30     0.01	20.60     0.01	0.023	14.5     0.4	29.9	
S1508	187.63087	12.42356	2419    140	22.99     0.02	22.01     0.01	21.49     0.01	21.31     0.01	21.25     0.01	21.53     0.03	0.022	22.2     0.4	42.4	
S1629	187.61066	12.34572	1129     7	21.44     0.00	20.38     0.00	19.81     0.00	19.63     0.00	19.51     0.00	19.69     0.01	0.023	18.0     0.3	26.4	
S5065	187.70854	12.40248	1578     3	21.32     0.01	20.21     0.00	19.67     0.00	19.40     0.00	19.26     0.00	19.33     0.00	0.023	12.4     0.3	13.6	
S6004	187.79259	12.26697	1818     77	22.43     0.01	21.32     0.00	20.87     0.00	20.56     0.01	20.43     0.01	20.63     0.01	0.022	 0.6     8.4	40.3	
S8005	187.69252	12.40641	1883     5	21.56     0.01	20.51     0.00	19.97     0.00	19.74     0.00	19.61     0.00	19.71     0.01	0.022	28.3     0.8	25.9	
S8006	187.69436	12.40616	1079     5	21.61     0.01	20.53     0.00	19.99     0.00	19.73     0.00	19.62     0.00	19.75     0.01	0.023	 1.0     7.1	21.2	
T15886 188.15205	12.34920	1349   13	23.96     0.03	22.97     0.01	22.55     0.01	22.24     0.02	22.22     0.03	22.35     0.05	0.028	10.1     0.3	11.0	
VUCD1	187.53155	12.60861	1223     2	20.28     0.00	19.05     0.00	18.51     0.00	18.21     0.00	18.04     0.00	18.05     0.00	0.022	12.3     0.1	12.1	
VUCD2	187.70085	12.58636	 919     9	20.29     0.00	19.13     0.00	18.57     0.00	18.31     0.00	18.17     0.00	18.25     0.00	0.021	11.1     0.1	14.1	
VUCD4	187.76865	11.94347	 916     2	20.30     0.00	19.14     0.00	18.64     0.00	18.34     0.00	18.20     0.00	18.34     0.00	0.028	17.8     1.0	25.1	
VUCD5	187.79950	12.68364	1290     2	20.44     0.00	19.01     0.00	18.38     0.00	18.01     0.00	17.82     0.00	17.66     0.00	0.025	19.5     0.4	19.2	
VUCD6	187.86816	12.41766	2100     2	20.47     0.00	19.32     0.00	18.76     0.00	18.50     0.00	18.35     0.00	18.45     0.00	0.023	13.1     0.3	18.8	
VUCD7	187.97040	12.26641	 985     3	19.76     0.00	18.49     0.00	17.92     0.00	17.58     0.00	17.39     0.00	17.38     0.00	0.025	19.6     0.4 100.6	
VUCD9	188.06074	12.05149	1323     12	20.66     0.00	19.45     0.00	18.90     0.00	18.57     0.00	18.45     0.00	18.48     0.00	0.029	17.5     0.4	25.4	
#New Sample	
F6				187.69749	12.55047	1341     5	20.71     0.00	19.46     0.00	18.86     0.00	18.56     0.00	18.40     0.00	18.34     0.00	0.021	17.4     0.2	       NaN        	
F12				187.76079	12.57058	1190     14	20.78     0.00	19.79     0.00	19.28     0.00	19.05     0.00	18.95     0.00	19.18     0.01	0.021	18.2     0.2	       NaN        	
F16				188.37279	12.17151	1230     18	21.60     0.00	20.57     0.00	20.05     0.00	19.81     0.00	19.70     0.00	19.91     0.01	0.034	12.2     0.3	       NaN        	
H18539		187.51687	12.12054	1172     9	20.84     0.00	19.73     0.00	19.20     0.00	18.94     0.00	18.85     0.00	19.05     0.00	0.028	11.1     0.2	       NaN        	
